SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,PES,"PAN, PRD Y MC",PAN Y PRD,PAN Y MC,PRD Y MC,NUMERO DE VOTOS VALIDOS,NUMERO DE VOTOS NULOS,TOTAL DE VOTOS,LISTA NOMINAL,% PARTICIPACION CIUDADANA,DISTRITO F,DISTRITO L
1,BALANCAN,5,27,29,86,7,8,2,153,40,2,1,0,0,374,21,396,667,59.3703,1,1
1,BALANCAN,9,52,37,61,5,12,1,89,32,2,1,0,0,319,18,337,667,50.5247,1,1
1,BALANCAN,8,33,35,61,14,24,3,175,44,0,0,0,1,413,35,448,666,67.2672,1,1
1,BALANCAN,9,45,37,63,11,13,3,107,62,1,0,0,0,366,11,377,666,56.6066,1,1
2,BALANCAN,4,46,25,85,5,17,3,164,51,0,1,0,0,418,14,432,649,66.5639,1,1
2,BALANCAN,6,46,44,92,9,14,3,164,55,0,1,0,1,449,15,465,649,71.6486,1,1
2,BALANCAN,9,55,40,90,7,15,2,143,39,0,0,1,2,424,20,444,648,68.5185,1,1
3,BALANCAN,4,43,24,86,4,3,1,130,47,0,0,0,0,342,0,342,549,62.295,1,1
3,BALANCAN,9,38,21,81,8,2,3,138,62,1,0,0,0,376,15,391,549,71.2204,1,1
4,BALANCAN,4,49,28,91,6,10,1,135,45,0,0,0,1,380,15,395,531,74.3879,1,1
4,BALANCAN,2,54,21,79,5,6,4,146,52,1,0,0,0,379,8,387,530,73.0188,1,1
5,BALANCAN,5,27,29,87,7,8,2,143,40,0,0,0,0,362,22,384,563,68.206,1,1
5,BALANCAN,6,40,19,66,5,9,2,147,57,1,0,0,0,375,18,393,563,69.8046,1,1
5,BALANCAN,5,44,37,71,5,6,2,141,42,0,0,0,1,369,21,390,562,69.395,1,1
6,BALANCAN,19,44,64,55,3,0,2,189,94,14,0,0,0,503,13,516,705,73.1914,1,1
6,BALANCAN,4,25,18,38,7,11,1,177,37,1,0,1,0,330,7,337,,,1,1
6,BALANCAN,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,1,1
7,BALANCAN,5,48,33,64,5,18,1,182,50,2,0,0,0,448,29,477,604,78.9735,1,1
7,BALANCAN,0,66,0,47,6,0,1,198,49,34,0,0,0,461,13,474,604,78.4768,1,1
8,BALANCAN,8,50,27,59,5,9,5,117,51,3,0,0,1,341,36,377,545,69.1743,1,1
8,BALANCAN,2,81,21,25,0,5,0,141,5,0,0,0,0,282,6,288,545,52.844,1,1
9,BALANCAN,3,26,32,94,2,6,5,181,78,0,0,0,0,432,25,457,641,71.2948,1,1
9,BALANCAN,2,36,12,98,4,6,5,162,75,0,0,0,0,401,24,425,640,66.4062,1,1
10,BALANCAN,2,30,17,44,2,2,1,32,22,0,0,0,0,153,2,155,201,77.1144,1,1
11,BALANCAN,7,10,10,87,4,5,2,100,137,21,0,0,0,383,25,408,534,76.4044,1,1
12,BALANCAN,7,48,16,38,5,12,11,152,148,0,0,0,1,448,26,474,639,74.1784,1,1
13,BALANCAN,1,41,23,79,5,5,5,166,18,1,0,0,0,347,40,387,531,72.8813,1,1
13,BALANCAN,2,32,15,69,5,15,5,175,12,4,0,0,0,338,30,368,531,69.3032,1,1
14,BALANCAN,5,34,26,85,4,15,1,268,37,3,0,0,0,482,31,513,736,69.701,1,1
15,BALANCAN,6,49,47,83,6,13,10,266,31,1,0,0,1,516,28,544,722,75.3462,1,1
16,BALANCAN,4,44,17,92,0,10,3,280,43,0,0,0,0,500,33,533,723,73.7206,1,1
17,BALANCAN,3,23,12,86,3,10,3,141,23,2,1,0,1,312,22,334,429,77.8554,1,1
17,BALANCAN,3,31,6,81,1,12,1,102,52,0,0,0,0,289,14,303,428,70.7943,1,1
18,BALANCAN,8,56,6,38,2,7,4,91,146,3,0,0,0,365,24,389,511,76.1252,1,1
18,BALANCAN,9,71,4,36,1,4,1,72,120,1,0,0,0,323,22,345,511,67.5146,1,1
19,BALANCAN,1,19,9,27,1,3,1,44,55,0,0,0,0,163,8,171,255,67.0588,1,1
20,BALANCAN,1,19,9,27,1,3,1,44,55,0,0,0,0,163,8,171,636,26.8867,1,1
21,BALANCAN,2,38,11,36,1,7,0,80,24,0,1,0,1,205,8,213,292,72.9452,1,1
22,BALANCAN,5,35,10,26,0,16,2,142,45,0,0,0,0,281,15,296,410,72.1951,1,1
22,BALANCAN,4,30,10,30,4,18,4,131,39,0,0,0,0,273,17,290,410,70.7317,1,1
23,BALANCAN,7,60,16,54,2,8,1,97,44,1,0,0,0,292,25,317,400,79.25,1,1
23,BALANCAN,6,33,31,53,4,8,3,114,52,0,0,0,0,306,16,322,472,68.2203,1,1
24,BALANCAN,10,119,14,76,3,5,5,109,72,2,1,0,0,419,36,455,587,77.5127,1,1
24,BALANCAN,388,107,6,71,2,3,1,119,49,0,0,0,0,749,20,769,587,131.005,1,1
24,BALANCAN,8,126,12,61,4,8,6,118,57,0,0,0,0,406,19,425,587,72.402,1,1
25,BALANCAN,10,15,18,42,10,11,4,83,69,0,0,0,0,269,13,282,389,72.4935,1,1
25,BALANCAN,7,17,14,43,4,5,2,71,77,1,0,0,0,241,0,241,388,62.1134,1,1
27,BALANCAN,16,68,61,10,4,13,0,118,30,1,0,0,1,325,22,347,484,71.6942,1,1
28,BALANCAN,4,51,18,21,1,2,3,90,25,2,0,0,0,226,17,243,399,60.9022,1,1
28,BALANCAN,6,43,23,15,3,3,2,84,35,1,0,0,0,223,12,235,398,59.0452,1,1
29,BALANCAN,5,112,15,89,3,8,3,168,30,0,0,0,0,433,17,450,622,72.3472,1,1
30,BALANCAN,6,35,8,65,2,9,4,151,58,0,0,0,0,338,0,338,483,69.9792,1,1
30,BALANCAN,2,25,21,68,3,6,4,150,51,0,0,0,0,332,15,347,482,71.9917,1,1
30,BALANCAN,0,24,10,12,0,3,2,35,10,0,0,0,0,96,2,98,119,82.3529,1,1
31,BALANCAN,1,38,5,24,0,4,1,35,12,0,1,0,0,121,12,133,198,67.1717,1,1
32,BALANCAN,13,26,20,26,2,13,2,68,75,0,1,0,2,251,0,264,317,83.2807,1,1
33,BALANCAN,11,11,9,8,2,7,3,119,65,0,0,0,0,235,6,241,341,70.6744,1,1
34,BALANCAN,3,54,28,21,2,4,3,37,83,1,0,0,0,237,9,246,391,62.9156,1,1
35,BALANCAN,9,29,58,77,5,6,2,166,57,1,1,0,0,423,34,457,575,79.4782,1,1
35,BALANCAN,2,30,46,66,6,11,1,167,60,1,0,0,0,398,38,448,574,78.0487,1,1
36,BALANCAN,3,55,40,99,11,10,2,183,66,1,0,0,0,470,24,494,654,75.5351,1,1
37,BALANCAN,9,39,35,85,5,4,5,150,112,1,0,0,0,450,20,470,618,76.0517,1,1
37,BALANCAN,6,55,33,74,3,8,0,137,123,0,2,1,0,449,26,475,618,76.8608,1,1
38,BALANCAN,0,61,13,44,7,13,1,132,43,0,0,0,0,321,20,341,433,78.7528,1,1
38,BALANCAN,0,62,12,43,1,7,4,83,74,0,0,0,0,289,18,307,352,87.2159,1,1
39,BALANCAN,11,30,32,46,4,5,2,79,61,0,0,0,0,274,13,287,410,70,1,1
39,BALANCAN,8,18,20,36,2,11,2,75,65,1,2,0,0,240,32,272,410,66.3414,1,1
40,BALANCAN,2,39,7,91,5,8,97,4,2,0,0,0,4,259,19,278,404,68.8118,1,1
40,BALANCAN,22,31,36,38,4,31,2,86,14,0,0,0,2,271,13,284,404,70.297,1,1
41,BALANCAN,9,39,16,42,4,7,2,90,109,0,1,0,0,326,14,340,474,71.7299,1,1
41,BALANCAN,10,32,13,34,3,7,4,90,102,0,0,0,0,307,17,324,473,68.4989,1,1
42,BALANCAN,2,10,17,68,3,4,2,119,12,0,0,0,0,238,0,238,385,61.8181,1,1
42,BALANCAN,3,58,22,66,4,4,0,103,11,0,0,0,0,273,12,285,384,74.2187,1,1
42,BALANCAN,1,89,5,74,1,8,1,196,64,0,0,0,0,440,19,460,588,78.2312,1,1
42,BALANCAN,8,13,5,54,3,3,1,78,54,1,0,0,0,222,10,232,282,82.2695,1,1
43,BALANCAN,4,39,19,56,2,8,2,126,49,3,0,0,0,321,27,348,494,70.4453,1,1
43,BALANCAN,5,42,19,40,0,7,3,125,53,0,0,0,0,299,21,320,493,64.9087,1,1
44,BALANCAN,10,42,3,49,3,7,3,153,38,0,0,0,0,313,17,330,443,74.492,1,1
44,BALANCAN,5,24,8,11,2,3,0,30,6,1,0,1,0,92,14,106,214,49.5327,1,1
44,BALANCAN,7,28,8,17,5,6,3,139,72,0,0,0,0,286,11,297,385,77.1428,1,1
45,BALANCAN,4,46,13,53,7,6,5,170,30,0,1,0,0,337,12,349,537,64.9906,1,1
45,BALANCAN,2,71,38,43,3,5,1,131,84,1,1,0,1,383,21,404,534,75.6554,1,1
46,CARDENAS,1,16,33,43,5,3,2,258,2,0,1,0,2,372,12,384,580,66.2068,2,2
46,CARDENAS,4,14,42,47,5,0,5,238,2,2,0,0,0,365,12,377,580,65,2,2
47,CARDENAS,1,14,60,15,4,1,7,291,4,1,0,0,0,406,14,420,680,61.7647,2,2
47,CARDENAS,2,13,49,34,5,5,1,252,4,1,0,0,0,373,26,399,680,58.6764,2,2
47,CARDENAS,4,6,66,34,9,2,2,234,2,0,0,0,0,368,8,376,680,55.2941,2,2
47,CARDENAS,3,7,42,44,6,6,1,234,7,0,0,0,0,360,19,379,680,55.7352,2,2
47,CARDENAS,2,19,63,36,6,2,1,258,7,1,2,0,0,411,10,421,680,61.9117,2,2
47,CARDENAS,3,10,61,51,5,4,2,233,2,1,0,0,2,386,15,401,680,58.9705,2,2
47,CARDENAS,4,11,60,28,6,4,1,250,9,0,0,0,1,392,19,411,680,60.4411,2,2
47,CARDENAS,2,15,33,35,0,2,1,242,5,1,0,0,1,345,19,364,550,66.1818,2,2
48,CARDENAS,2,5,49,49,6,0,2,216,8,1,0,0,0,341,15,356,562,63.3451,2,2
48,CARDENAS,4,8,46,44,2,6,4,226,5,0,0,0,0,354,18,372,561,66.3101,2,2
48,CARDENAS,1,5,42,41,1,0,3,224,4,0,0,0,3,333,13,346,561,61.6755,2,2
49,CARDENAS,0,15,42,38,0,0,5,213,2,0,0,0,0,325,6,331,494,67.004,2,2
49,CARDENAS,4,9,28,46,0,2,1,225,4,0,0,0,0,326,10,336,493,68.1541,2,2
50,CARDENAS,3,9,44,61,5,2,0,206,9,0,0,0,0,347,9,356,538,66.171,2,2
50,CARDENAS,0,16,48,39,2,5,4,221,14,0,0,0,0,351,9,360,538,66.9144,2,2
50,CARDENAS,4,13,40,41,4,2,2,231,7,1,0,0,0,353,2,355,537,66.108,2,2
51,CARDENAS,2,6,40,44,6,4,3,211,13,0,0,0,0,335,11,346,537,64.432,2,2
51,CARDENAS,1,10,37,50,1,4,2,192,8,0,0,0,2,307,10,317,537,59.0316,2,2
51,CARDENAS,5,6,34,66,6,2,1,229,8,1,0,0,2,363,15,378,537,70.391,2,2
52,CARDENAS,3,13,61,75,5,1,2,269,1,0,0,0,1,442,21,463,706,65.5807,2,2
52,CARDENAS,2,14,59,67,4,3,3,248,7,0,0,0,0,418,26,455,705,64.539,2,2
53,CARDENAS,4,11,38,61,9,2,1,269,3,0,0,0,0,410,14,424,651,65.1305,2,2
53,CARDENAS,1,8,52,85,4,10,1,253,8,0,0,0,0,431,8,439,650,67.5384,2,2
53,CARDENAS,4,13,46,65,3,2,2,278,6,1,0,0,0,428,13,441,650,67.8461,2,2
54,CARDENAS,4,24,42,53,2,4,4,231,6,0,2,0,0,381,14,395,626,63.099,2,2
54,CARDENAS,5,21,37,52,6,3,2,232,7,0,0,0,0,376,19,395,625,63.2,2,2
55,CARDENAS,1,26,41,66,4,4,2,308,3,0,1,0,0,469,14,483,733,65.8935,2,2
55,CARDENAS,2,16,53,68,10,3,6,284,4,0,0,0,0,455,27,482,733,65.7571,2,2
55,CARDENAS,2,15,37,66,4,4,4,307,8,0,0,0,0,455,14,469,733,63.9836,2,2
55,CARDENAS,6,18,53,60,4,3,3,301,5,0,0,1,2,466,19,485,733,66.1664,2,2
55,CARDENAS,3,22,37,85,6,2,8,299,7,1,0,0,1,472,17,489,733,66.7121,2,2
56,CARDENAS,2,8,41,71,12,2,4,228,7,2,0,0,0,383,7,390,548,71.1678,2,2
56,CARDENAS,3,12,35,53,3,5,3,320,6,0,0,0,0,447,15,462,547,84.4606,2,2
57,CARDENAS,3,30,28,48,6,3,2,231,1,0,0,0,0,362,7,369,617,59.8055,2,2
58,CARDENAS,2,17,26,28,1,3,1,163,4,0,0,0,0,264,12,276,377,73.2095,2,2
58,CARDENAS,1,12,29,45,1,3,1,158,5,2,0,0,0,264,6,271,377,71.8832,2,2
59,CARDENAS,9,19,33,44,1,2,3,206,7,1,1,0,1,335,9,344,460,74.7826,2,2
59,CARDENAS,3,15,33,48,2,2,0,213,3,0,0,0,0,330,1,331,460,71.9565,2,2
60,CARDENAS,2,18,47,53,5,2,2,322,3,0,0,0,0,465,15,480,500,96,2,2
60,CARDENAS,2,13,28,54,3,0,0,225,4,1,0,0,0,336,15,351,499,70.3406,2,2
61,CARDENAS,6,14,27,67,2,7,3,244,3,0,0,0,0,387,13,400,640,62.5,2,2
62,CARDENAS,3,10,29,63,4,3,0,155,4,0,0,0,0,277,10,287,412,69.6601,2,2
62,CARDENAS,1,11,28,46,5,5,4,165,4,1,2,0,3,292,7,299,411,72.7493,2,2
63,CARDENAS,1,13,36,70,9,2,1,195,1,1,0,0,0,337,19,356,635,56.0629,2,2
63,CARDENAS,1,6,43,73,5,5,3,272,7,3,0,0,0,429,9,438,635,68.9763,2,2
63,CARDENAS,2,8,40,44,4,2,1,295,4,0,0,0,0,406,12,418,635,65.8267,2,2
63,CARDENAS,5,14,38,64,8,2,2,286,9,0,0,0,1,438,14,452,634,71.2933,2,2
64,CARDENAS,2,16,31,77,5,3,1,285,8,0,0,1,0,447,18,465,659,70.5614,2,2
64,CARDENAS,6,19,37,60,3,6,4,275,9,0,0,0,0,434,10,444,659,67.3748,2,2
65,CARDENAS,4,14,26,60,3,1,0,205,3,0,0,0,0,330,0,331,498,66.4658,2,2
65,CARDENAS,2,19,28,70,0,1,2,189,6,1,1,0,0,350,12,362,497,72.837,2,2
66,CARDENAS,13,33,54,69,4,9,7,267,4,1,0,0,0,477,27,504,697,72.3098,2,2
67,CARDENAS,13,19,49,75,4,8,5,206,4,0,0,0,0,398,10,408,600,68,2,2
68,CARDENAS,3,24,48,76,7,4,0,270,8,0,0,0,2,455,17,472,665,70.9774,2,2
69,CARDENAS,7,10,49,59,6,4,3,270,5,1,1,0,0,426,12,438,643,68.1181,2,2
70,CARDENAS,5,18,29,67,5,3,2,278,4,1,0,0,1,424,3,427,582,73.3676,2,2
70,CARDENAS,6,11,34,63,6,5,0,282,4,0,0,0,1,419,8,427,582,73.3676,2,2
70,CARDENAS,5,16,36,50,3,8,2,277,4,0,0,0,0,416,18,434,581,74.6987,2,2
71,CARDENAS,8,12,48,104,5,5,3,259,4,2,1,0,0,462,10,472,719,65.6467,2,2
71,CARDENAS,3,10,46,97,2,4,2,235,3,0,0,0,0,414,11,425,719,59.1098,2,2
71,CARDENAS,2,7,42,97,4,5,4,269,0,0,1,0,1,442,19,461,719,64.1168,2,2
71,CARDENAS,5,11,41,118,1,7,4,269,3,2,0,0,3,476,10,486,719,67.5938,2,2
71,CARDENAS,2,16,40,86,6,1,2,280,0,0,0,0,1,448,20,468,719,65.0904,2,2
71,CARDENAS,2,16,55,94,1,9,4,293,0,0,0,0,0,476,16,492,719,68.4283,2,2
72,CARDENAS,8,21,37,56,3,8,4,128,4,0,0,0,0,285,14,300,573,52.356,2,2
72,CARDENAS,0,23,52,56,3,9,4,224,5,0,0,0,0,386,16,402,572,70.2797,2,2
72,CARDENAS,0,0,1,1,0,0,0,3,0,0,0,0,0,5,0,5,,,2,2
72,CARDENAS,0,5,13,10,0,5,2,137,2,,,,,174,10,184,,,2,2
73,CARDENAS,7,8,30,51,1,2,4,144,6,1,0,0,0,264,5,269,410,65.6097,2,2
73,CARDENAS,5,11,26,71,0,1,2,142,0,5,0,0,0,274,0,274,409,66.9926,2,2
74,CARDENAS,6,16,40,80,6,4,9,272,2,0,0,0,0,466,17,483,698,69.1977,2,2
74,CARDENAS,0,9,8,10,4,0,0,125,2,0,0,0,0,164,4,168,,,2,2
74,CARDENAS,0,9,8,10,4,0,0,125,2,,,,,158,10,168,,,2,2
75,CARDENAS,5,15,24,64,5,0,11,277,3,2,0,0,0,415,8,423,628,67.3566,2,2
75,CARDENAS,3,8,28,68,4,4,3,290,5,0,0,0,0,431,12,443,627,70.6539,2,2
76,CARDENAS,1,15,20,37,1,3,3,183,2,0,0,0,0,272,15,287,400,71.75,2,2
76,CARDENAS,2,15,19,52,3,2,3,167,4,0,0,0,0,276,5,281,399,70.426,2,2
77,CARDENAS,2,9,30,71,3,2,8,221,4,1,0,0,0,358,1,359,488,73.5655,2,2
77,CARDENAS,1,12,45,48,2,4,8,232,6,0,0,0,0,366,20,386,487,79.2607,2,2
78,CARDENAS,4,6,28,55,4,4,9,224,4,0,2,0,0,359,7,366,493,74.2393,2,2
78,CARDENAS,2,9,43,53,0,7,5,208,4,0,0,0,0,360,1,361,492,73.3739,2,2
79,CARDENAS,3,17,40,66,2,4,8,224,3,1,0,0,1,387,8,395,536,73.694,2,2
79,CARDENAS,5,18,29,69,2,5,5,22,2,0,1,0,0,176,8,184,535,34.3925,2,2
80,CARDENAS,3,16,50,63,7,6,3,227,4,1,0,0,0,393,9,402,678,59.292,2,2
81,CARDENAS,2,17,57,59,4,7,2,280,4,0,0,0,0,451,11,462,653,70.7503,2,2
81,CARDENAS,1,13,49,64,3,4,2,271,5,0,1,0,0,426,15,441,653,67.5344,2,2
81,CARDENAS,4,16,50,46,9,6,4,266,3,1,0,0,0,418,4,428,652,65.6441,2,2
82,CARDENAS,5,6,47,65,2,2,3,186,4,0,0,0,1,322,0,322,516,62.4031,2,2
82,CARDENAS,4,5,37,7,2,5,2,212,4,1,1,0,0,312,14,326,516,63.1782,2,2
83,CARDENAS,6,16,38,84,1,3,8,8,8,265,9,0,0,455,14,469,615,76.2601,2,2
83,CARDENAS,3,12,42,72,2,4,7,269,9,0,0,0,0,438,8,447,614,72.8013,2,2
84,CARDENAS,0,11,17,63,3,4,6,215,5,0,0,0,0,333,8,341,510,66.8627,2,2
84,CARDENAS,3,11,31,56,5,9,5,228,5,1,0,0,0,359,4,363,510,71.1764,2,2
84,CARDENAS,1,10,29,62,3,10,1,222,1,11,1,0,0,361,10,371,510,72.745,2,2
85,CARDENAS,0,25,49,67,0,0,3,296,3,0,0,0,0,454,9,463,670,69.1044,2,2
85,CARDENAS,5,30,35,101,5,5,4,249,3,0,0,0,0,448,19,467,670,69.7014,2,2
86,CARDENAS,3,13,32,92,2,2,4,258,5,0,0,0,0,427,11,438,649,67.4884,2,2
86,CARDENAS,3,14,33,70,2,4,3,262,4,0,0,0,0,411,9,420,649,64.7149,2,2
86,CARDENAS,5,9,35,76,2,3,1,271,10,0,1,0,0,424,14,439,649,67.6425,2,2
86,CARDENAS,3,21,32,81,3,2,4,256,5,0,0,0,1,420,4,424,648,65.432,2,2
86,CARDENAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,2,2
87,CARDENAS,0,16,52,31,6,2,1,231,1,0,1,0,1,347,12,359,571,62.8721,2,2
87,CARDENAS,0,9,35,26,3,4,2,241,4,1,0,0,0,329,23,352,571,61.6462,2,2
87,CARDENAS,4,4,43,28,6,3,2,231,4,0,0,0,1,336,12,348,570,61.0526,2,2
87,CARDENAS,4,7,37,35,4,8,3,221,5,0,0,0,0,336,6,342,570,60,2,2
88,CARDENAS,4,15,52,59,3,2,5,290,9,1,0,0,0,441,12,464,636,72.9559,2,2
88,CARDENAS,8,8,51,51,3,5,4,289,11,0,2,0,1,439,15,454,636,71.3836,2,2
88,CARDENAS,5,11,51,44,5,0,4,318,4,0,3,0,0,463,11,474,636,74.5283,2,2
89,CARDENAS,2,13,53,51,6,3,0,288,4,0,0,0,1,431,20,451,692,65.1734,2,2
89,CARDENAS,1,11,54,60,5,2,3,251,3,1,0,0,0,400,14,414,692,59.8265,2,2
89,CARDENAS,3,17,60,44,10,5,0,256,4,0,0,0,0,414,14,428,692,61.8497,2,2
90,CARDENAS,4,31,95,95,5,3,6,186,0,0,0,0,0,433,33,466,616,75.6493,2,3
90,CARDENAS,3,22,80,98,6,5,0,205,0,2,0,0,0,427,23,450,616,73.0519,2,3
91,CARDENAS,4,30,124,1,9,9,3,234,2,5,2,0,2,428,20,448,611,73.3224,2,3
91,CARDENAS,3,24,108,4,11,4,3,257,2,1,2,0,1,425,23,448,611,73.3224,2,3
92,CARDENAS,3,23,80,48,10,4,5,281,4,0,2,0,0,466,27,493,733,67.2578,2,3
92,CARDENAS,5,41,67,71,6,6,5,270,3,0,0,0,1,479,22,501,733,68.3492,2,3
93,CARDENAS,4,30,35,98,4,8,4,193,2,1,6,0,0,386,36,422,572,73.7762,2,3
93,CARDENAS,6,29,33,91,2,6,0,194,2,0,0,0,0,365,24,389,572,68.0069,2,3
93,CARDENAS,4,7,20,5,0,9,1,132,1,0,0,0,0,179,7,186,,,2,3
93,CARDENAS,1,0,4,7,0,1,2,59,1,,,,,75,0,75,,,2,3
94,CARDENAS,3,43,13,51,4,12,0,118,1,0,0,1,0,247,18,265,383,69.1906,2,3
94,CARDENAS,4,22,17,68,1,5,3,114,0,0,0,0,1,236,13,249,382,65.1832,2,3
95,CARDENAS,2,17,75,97,5,6,4,187,2,1,0,0,0,397,27,424,672,63.0952,2,3
95,CARDENAS,2,22,64,81,5,6,2,202,3,3,2,0,1,394,54,448,672,66.6666,2,3
96,CARDENAS,4,40,36,19,7,4,2,124,0,6,2,0,0,244,12,256,376,68.0851,2,3
96,CARDENAS,0,31,44,20,5,0,2,135,0,0,0,0,4,241,16,257,375,68.5333,2,3
97,CARDENAS,1,38,79,4,7,4,5,190,1,0,0,0,0,331,9,340,495,68.6868,2,3
97,CARDENAS,0,43,70,1,3,6,2,196,2,0,0,0,0,326,11,337,494,68.2186,2,3
98,CARDENAS,3,34,104,4,8,15,3,303,1,0,0,0,0,478,29,507,726,69.8347,2,3
98,CARDENAS,0,31,108,1,8,6,6,317,2,4,0,0,1,489,24,514,726,70.7988,2,3
99,CARDENAS,3,32,53,10,9,7,3,163,1,5,2,0,2,292,16,308,418,73.6842,2,3
99,CARDENAS,0,21,34,6,10,10,4,178,1,1,0,1,0,267,14,281,418,67.2248,2,3
99,CARDENAS,7,57,112,6,11,9,14,241,2,1,0,1,1,464,31,495,744,66.5322,2,3
100,CARDENAS,3,39,85,11,7,6,2,246,5,1,1,0,0,408,27,435,643,67.6516,2,3
100,CARDENAS,2,42,93,9,5,4,4,231,2,0,1,0,0,395,20,415,643,64.5412,2,3
100,CARDENAS,3,25,65,20,3,4,7,262,2,0,0,0,1,392,23,415,643,64.5412,2,3
101,CARDENAS,5,47,117,8,14,5,2,262,5,0,1,0,0,466,28,495,747,66.265,2,4
101,CARDENAS,9,25,106,4,7,10,1,214,3,0,0,0,0,379,31,410,651,62.98,2,4
102,CARDENAS,1,15,75,2,2,0,2,96,0,1,2,0,1,197,16,213,281,75.8007,2,4
102,CARDENAS,0,17,139,8,3,6,2,172,6,3,0,0,2,358,0,387,592,65.3716,2,4
103,CARDENAS,1,30,89,12,12,3,14,163,5,0,0,0,2,335,22,357,501,71.2574,2,3
103,CARDENAS,0,42,95,11,6,5,11,178,1,0,0,0,1,353,17,370,501,73.8522,2,3
103,CARDENAS,0,33,77,18,3,9,4,205,2,0,0,0,0,351,10,361,500,72.2,2,3
104,CARDENAS,0,24,53,7,5,8,10,213,3,0,0,0,0,324,7,331,483,68.53,2,3
104,CARDENAS,2,22,70,2,10,3,10,190,2,2,0,0,0,313,6,319,483,66.0455,2,3
105,CARDENAS,1,55,86,0,10,19,10,225,5,1,0,2,1,416,23,439,725,60.5517,2,3
105,CARDENAS,2,62,67,6,6,33,20,223,3,0,0,0,4,427,24,451,724,62.2928,2,3
106,CARDENAS,2,30,66,10,10,4,4,108,2,0,0,0,1,237,25,262,563,46.5364,2,3
106,CARDENAS,1,22,91,14,7,4,2,199,1,0,1,0,0,344,12,357,563,63.4103,2,3
107,CARDENAS,1,36,59,1,8,8,3,284,1,3,0,0,0,404,17,421,614,68.5667,2,4
107,CARDENAS,1,29,52,4,4,1,4,273,2,0,0,0,0,370,17,387,613,63.1321,2,4
108,CARDENAS,4,52,75,5,11,5,14,237,0,0,2,0,5,410,0,410,627,65.3907,2,3
109,CARDENAS,1,35,45,2,8,11,7,181,7,0,0,0,0,297,11,308,490,62.8571,2,3
109,CARDENAS,0,40,55,4,4,7,2,184,4,1,0,0,1,302,24,326,489,66.6666,2,3
109,CARDENAS,0,2,22,2,0,1,0,41,1,0,0,0,1,71,5,76,99,76.7676,2,3
110,CARDENAS,4,20,79,5,7,5,5,193,2,1,1,0,0,323,30,353,580,60.862,2,3
110,CARDENAS,2,14,85,4,17,9,1,183,3,1,1,0,1,322,31,353,579,60.9671,2,3
110,CARDENAS,4,14,52,8,9,8,11,181,7,0,1,2,2,301,18,319,579,55.0949,2,3
110,CARDENAS,1,26,69,3,7,3,7,176,5,1,0,0,1,299,21,320,579,55.2677,2,3
111,CARDENAS,1,21,202,5,5,4,3,241,2,1,1,0,2,490,20,510,649,78.5824,2,3
112,CARDENAS,1,40,87,18,6,3,5,178,2,0,0,0,1,341,2,343,490,70,2,4
112,CARDENAS,4,43,80,19,1,2,0,169,1,0,0,0,0,319,15,334,490,68.1632,2,4
113,CARDENAS,1,24,53,2,0,7,1,235,0,0,0,0,0,323,4,327,463,70.6263,2,4
113,CARDENAS,4,18,54,5,3,5,0,205,1,0,0,0,1,296,18,314,463,67.8185,2,4
114,CARDENAS,2,43,61,1,4,1,1,202,7,0,1,0,0,323,13,337,514,65.5642,2,4
114,CARDENAS,5,37,72,3,4,4,2,186,7,5,0,0,1,326,21,348,513,67.8362,2,4
115,CARDENAS,0,22,66,5,3,3,1,159,1,2,0,0,1,263,28,291,432,67.3611,2,4
115,CARDENAS,2,30,63,3,4,3,1,160,2,2,1,0,0,271,9,281,432,65.0462,2,4
116,CARDENAS,2,19,57,5,3,7,0,160,1,0,0,0,0,254,14,268,401,66.8329,2,4
116,CARDENAS,0,34,44,3,3,6,0,153,4,0,0,0,0,247,13,261,400,65.25,2,4
117,CARDENAS,1,59,80,12,5,0,1,146,3,0,0,0,0,309,12,321,423,75.8865,2,3
118,CARDENAS,1,36,57,12,3,12,2,182,2,0,3,0,1,312,18,330,475,69.4736,2,3
118,CARDENAS,2,39,78,9,4,6,4,160,5,1,1,0,2,312,13,325,474,68.5654,2,3
119,CARDENAS,5,34,116,4,6,12,3,287,7,1,1,0,0,483,0,483,696,69.3965,2,3
119,CARDENAS,1,74,161,0,8,10,5,74,0,0,0,0,0,333,0,333,447,74.4966,2,3
120,CARDENAS,1,37,88,16,6,11,2,271,5,0,2,0,0,439,17,456,637,71.5855,2,3
120,CARDENAS,2,28,89,5,5,10,2,230,4,1,0,0,2,380,16,396,637,62.1664,2,3
121,CARDENAS,0,7,52,11,5,3,3,224,5,2,0,0,2,315,18,333,510,65.2941,2,3
121,CARDENAS,3,12,58,12,4,3,1,213,6,1,0,0,1,316,15,331,509,65.0294,2,3
121,CARDENAS,0,16,78,7,6,8,3,183,1,0,0,0,1,305,20,325,509,63.8506,2,3
122,CARDENAS,0,32,92,4,7,5,3,218,4,2,0,0,0,371,27,398,610,65.2459,2,3
122,CARDENAS,0,39,80,5,16,6,3,243,1,2,0,0,0,398,25,423,610,69.3442,2,3
