SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,NUMERO DE VOTOS VALIDOS,NUMERO DE VOTOS NULOS,TOTAL DE VOTOS,LISTA NOMINAL,% PARTICIPACION CIUDADANA,CASILLA
969,NACAJUCA,14,5,32,109,11,11,22,218,8,1,1,0,0,,432,28,460,572,80.4195,BASICA
969,NACAJUCA,16,7,41,113,10,10,7,222,4,1,0,0,0,,431,34,465,572,81.2937,CONTIGUA 01
969,NACAJUCA,21,4,48,94,6,14,12,221,6,1,1,0,0,,428,0,428,572,74.8251,CONTIGUA 02
969,NACAJUCA,10,18,47,90,14,7,3,241,0,1,0,1,1,,433,18,451,548,82.2992,EXTRAORDINARIA 01
970,NACAJUCA,22,11,119,77,4,7,6,221,3,2,0,0,0,,472,28,500,586,85.3242,BASICA
970,NACAJUCA,20,13,62,110,3,7,4,246,2,1,0,0,1,,469,26,495,586,84.4709,CONTIGUA 01
970,NACAJUCA,12,10,59,119,10,5,2,232,0,0,0,0,0,,449,23,472,585,80.6837,CONTIGUA 02
971,NACAJUCA,22,15,62,122,6,8,6,266,0,4,0,0,1,,512,16,528,671,78.6885,BASICA
971,NACAJUCA,19,11,52,102,6,3,10,313,4,1,0,0,0,,521,30,551,671,82.1162,CONTIGUA 01
971,NACAJUCA,14,15,69,101,11,6,9,284,4,5,0,0,0,,518,28,546,671,81.371,CONTIGUA 02
971,NACAJUCA,15,13,86,81,8,7,1,272,0,2,0,0,0,,485,16,501,670,74.7761,CONTIGUA 03
972,NACAJUCA,15,11,38,124,6,13,1,254,2,2,1,1,1,,469,25,494,614,80.456,BASICA
972,NACAJUCA,13,16,32,126,9,1,4,269,2,0,0,0,0,,472,23,495,613,80.7504,CONTIGUA 01
972,NACAJUCA,19,7,36,92,8,7,2,272,2,1,4,1,0,,451,38,489,613,79.7716,CONTIGUA 02
972,NACAJUCA,15,14,38,97,9,3,2,291,3,3,2,0,0,,477,23,500,613,81.566,CONTIGUA 03
973,NACAJUCA,16,13,19,57,8,6,1,185,1,5,0,0,0,,311,18,329,431,76.3341,BASICA
973,NACAJUCA,6,16,19,10,2,7,1,164,1,6,0,1,1,,234,10,244,430,56.7441,CONTIGUA 01
974,NACAJUCA,26,14,41,84,4,6,2,255,4,3,1,0,1,,441,24,465,582,79.8969,BASICA
974,NACAJUCA,28,8,65,77,6,8,3,242,1,0,0,0,0,,438,19,457,581,78.6574,CONTIGUA 01
974,NACAJUCA,22,16,45,96,1,8,4,227,0,2,1,0,0,,422,34,456,581,78.4853,CONTIGUA 02
974,NACAJUCA,32,14,40,76,1,9,4,254,0,0,0,0,0,,430,22,452,581,77.7969,CONTIGUA 03
974,NACAJUCA,14,9,72,87,8,9,6,211,1,4,2,0,1,,424,15,439,540,81.2962,EXTRAORDINARIA 01
