SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,NUMERO DE VOTOS VALIDOS,NUMERO DE VOTOS NULOS,TOTAL DE VOTOS,LISTA NOMINAL,% PARTICIPACION CIUDADANA,CASILLA
1,BALANCAN,7,84,28,62,,13,1,169,58,0,0,0,0,,446,29,475,667,71.2143,BASICA
1,BALANCAN,9,92,32,56,,7,2,136,32,0,0,0,4,,396,14,410,667,61.4692,CONTIGUA 01
1,BALANCAN,4,82,24,57,,12,5,162,48,1,0,0,1,,418,30,448,666,67.2672,CONTIGUA 02
1,BALANCAN,5,75,29,76,,8,4,153,55,0,0,0,0,,423,14,437,666,65.6156,CONTIGUA 03
2,BALANCAN,6,84,13,85,,12,4,135,55,0,0,0,0,,416,16,432,649,66.5639,BASICA
2,BALANCAN,6,86,27,91,,6,5,146,47,1,0,0,0,,443,21,464,649,71.4946,CONTIGUA 01
2,BALANCAN,5,78,25,107,,10,4,128,46,1,0,0,1,,429,15,444,648,68.5185,CONTIGUA 02
3,BALANCAN,2,80,17,67,,5,3,116,54,0,0,0,0,,368,13,381,549,69.3989,BASICA
3,BALANCAN,5,97,13,53,,2,3,138,48,0,0,0,0,,380,10,390,549,71.0382,CONTIGUA 01
4,BALANCAN,2,65,29,88,,6,1,132,39,0,0,1,1,,382,12,394,531,74.1996,BASICA
4,BALANCAN,3,78,19,75,,3,2,132,40,1,0,0,0,,373,12,385,530,72.6415,CONTIGUA 01
5,BALANCAN,4,70,26,54,,10,4,149,40,1,0,0,0,,377,18,396,563,70.3374,BASICA
5,BALANCAN,4,83,16,56,,6,0,129,52,0,0,0,0,,372,18,390,563,69.2717,CONTIGUA 01
5,BALANCAN,2,74,26,60,,6,2,123,51,0,1,0,0,,373,16,389,562,69.217,CONTIGUA 02
6,BALANCAN,14,90,72,62,,11,2,171,45,4,0,0,0,,504,12,516,705,73.1914,BASICA
6,BALANCAN,0,30,5,24,,0,1,36,27,0,0,1,0,,131,4,135,,,ESPECIAL MR 01
7,BALANCAN,3,88,28,58,,14,1,169,41,3,0,0,0,,456,21,477,604,78.9735,BASICA
7,BALANCAN,0,118,0,50,,0,1,159,37,0,0,0,37,,464,20,484,604,80.1324,CONTIGUA 01
8,BALANCAN,3,64,22,76,,3,3,107,55,2,1,0,1,,346,30,376,545,68.9908,BASICA
8,BALANCAN,2,54,14,89,,5,3,108,49,1,0,0,0,,328,29,357,545,65.5045,CONTIGUA 01
9,BALANCAN,2,44,16,133,,5,5,124,96,0,0,0,0,,427,29,456,641,71.1388,BASICA
9,BALANCAN,0,46,18,115,,5,2,130,84,0,0,0,0,,402,21,423,640,66.0937,CONTIGUA 01
10,BALANCAN,0,28,20,39,,2,0,30,24,0,0,0,0,,147,8,155,201,77.1144,BASICA
11,BALANCAN,5,22,7,107,,7,0,58,139,0,0,0,0,,348,25,373,534,69.8501,BASICA
12,BALANCAN,7,55,19,50,,8,8,130,157,0,0,0,1,,455,20,475,639,74.3348,BASICA
13,BALANCAN,1,67,8,94,,8,6,152,20,0,0,0,0,,358,28,386,531,72.693,BASICA
13,BALANCAN,2,51,8,106,,11,3,149,14,1,0,1,0,,348,20,368,531,69.3032,CONTIGUA 01
14,BALANCAN,6,76,8,113,,14,6,184,37,1,1,0,0,,468,42,510,736,69.2934,BASICA
15,BALANCAN,2,82,12,153,,14,14,202,31,2,0,0,0,,518,24,542,722,75.0692,BASICA
16,BALANCAN,4,67,5,116,,9,9,234,8,0,0,0,1,,454,32,486,723,67.2199,BASICA
17,BALANCAN,1,43,6,121,,8,5,110,118,2,1,0,0,,420,14,434,429,101.1655,BASICA
17,BALANCAN,3,42,5,101,,9,3,77,59,0,0,0,0,,299,12,311,428,72.6635,CONTIGUA 01
18,BALANCAN,8,67,2,45,,1,6,66,152,0,3,0,0,,360,25,385,511,75.3424,BASICA
18,BALANCAN,5,84,3,53,,3,1,45,133,1,0,0,70,,405,17,422,511,82.5831,CONTIGUA 01
19,BALANCAN,0,25,12,29,,4,1,31,58,0,0,0,0,,165,6,171,255,67.0588,BASICA
20,BALANCAN,3,42,32,119,,11,4,130,110,1,0,0,0,,453,24,477,636,75,BASICA
21,BALANCAN,3,77,9,30,,5,1,56,27,1,0,0,0,,212,11,223,292,76.3698,BASICA
22,BALANCAN,4,40,6,51,,18,1,112,55,0,0,0,0,,287,10,297,410,72.439,BASICA
22,BALANCAN,4,41,5,42,,17,1,110,50,0,0,0,1,,274,15,289,410,70.4878,CONTIGUA 01
23,BALANCAN,0,83,16,73,,3,2,84,35,1,0,0,1,,298,17,315,400,78.75,BASICA
23,BALANCAN,3,62,18,66,,7,5,104,50,0,0,0,0,,318,14,332,472,70.3389,EXTRAORDINARIA 01
24,BALANCAN,3,155,9,96,,3,2,81,64,2,0,0,0,,422,31,453,587,77.172,BASICA
24,BALANCAN,4,150,7,71,,0,1,83,48,0,0,0,0,,366,22,388,587,66.0988,CONTIGUA 01
24,BALANCAN,3,167,3,73,,5,2,104,58,0,0,0,0,,417,17,434,587,73.9352,CONTIGUA 02
25,BALANCAN,8,26,5,68,,13,2,64,71,0,0,0,0,,269,16,285,389,73.2647,BASICA
25,BALANCAN,4,21,8,57,,2,3,61,91,2,1,0,0,,250,22,285,388,73.4536,CONTIGUA 01
27,BALANCAN,5,106,44,28,,7,1,98,34,0,1,0,1,,330,17,347,484,71.6942,BASICA
28,BALANCAN,6,66,13,20,,1,1,78,24,2,0,0,0,,213,21,234,399,58.6466,BASICA
28,BALANCAN,3,61,17,16,,5,1,74,37,0,0,0,0,,224,11,235,398,59.0452,CONTIGUA 01
29,BALANCAN,4,139,7,105,,5,1,123,35,0,0,0,0,,423,18,441,622,70.9003,BASICA
30,BALANCAN,6,41,12,63,,0,1,120,12,0,0,0,0,,255,26,281,483,58.178,BASICA
30,BALANCAN,3,43,17,76,,10,2,118,51,0,0,0,0,,329,14,343,482,71.1618,CONTIGUA 01
30,BALANCAN,1,30,7,14,,4,0,27,10,0,1,0,0,,94,4,98,119,82.3529,EXTRAORDINARIA 01
31,BALANCAN,1,41,4,30,,7,0,28,10,0,0,0,0,,123,13,136,198,68.6868,BASICA
32,BALANCAN,3,40,5,50,,10,2,58,49,0,0,0,2,,227,10,237,317,74.7634,BASICA
33,BALANCAN,10,18,9,16,,7,0,92,86,0,0,0,0,,241,6,247,341,72.434,BASICA
34,BALANCAN,3,73,10,24,,0,4,39,84,1,0,0,1,,241,5,246,391,62.9156,BASICA
35,BALANCAN,10,43,24,103,,6,0,128,52,1,1,0,0,,395,29,424,575,73.7391,BASICA
35,BALANCAN,0,39,17,125,,3,1,137,72,0,0,0,0,,415,32,450,574,78.3972,CONTIGUA 01
36,BALANCAN,2,73,26,113,,11,2,164,67,2,0,0,0,,460,23,510,654,77.9816,BASICA
37,BALANCAN,6,59,19,88,,5,2,120,139,0,2,0,0,,453,21,475,618,76.8608,BASICA
37,BALANCAN,6,59,19,88,,5,2,120,139,0,2,0,0,,453,21,475,618,76.8608,CONTIGUA 01
38,BALANCAN,1,92,3,42,,9,0,113,37,1,0,0,0,,311,30,341,433,78.7528,BASICA
38,BALANCAN,1,95,5,55,,6,2,50,74,1,0,0,0,,291,16,307,352,87.2159,EXTRAORDINARIA 01
39,BALANCAN,5,54,12,69,,2,2,49,76,0,0,0,0,,274,13,287,410,70,BASICA
39,BALANCAN,6,35,9,47,,5,2,49,88,0,0,0,0,,243,30,273,410,66.5853,CONTIGUA 01
40,BALANCAN,4,55,13,88,,6,1,82,18,3,0,0,0,,277,19,296,404,73.2673,BASICA
40,BALANCAN,6,53,23,86,,3,0,69,25,0,0,0,0,,275,13,288,404,71.2871,CONTIGUA 01
41,BALANCAN,7,40,8,56,,9,3,73,125,1,0,0,0,,330,10,340,474,71.7299,BASICA
41,BALANCAN,7,42,7,31,,2,3,84,113,0,0,0,0,,310,15,325,473,68.7103,CONTIGUA 01
42,BALANCAN,3,64,15,78,,3,0,92,10,0,0,0,0,,265,23,288,385,74.8051,BASICA
42,BALANCAN,1,88,21,77,,7,0,70,12,0,1,0,1,,278,7,285,384,74.2187,CONTIGUA 01
42,BALANCAN,1,102,4,82,,6,2,176,63,1,0,0,0,,439,19,458,588,77.8911,EXTRAORDINARIA 01
42,BALANCAN,6,28,5,48,,4,1,64,57,0,0,0,0,,220,12,232,282,82.2695,EXTRAORDINARIA 02
43,BALANCAN,4,52,14,62,,3,5,111,53,2,1,0,2,,322,26,348,494,70.4453,BASICA
43,BALANCAN,1,54,13,46,,5,1,108,52,0,0,0,0,,301,25,326,493,66.1257,CONTIGUA 01
44,BALANCAN,8,72,3,32,,6,2,138,51,0,0,0,0,,316,14,330,443,74.492,BASICA
44,BALANCAN,6,34,9,7,,2,0,23,69,0,0,0,0,,150,11,161,214,75.2336,EXTRAORDINARIA 01
44,BALANCAN,1,50,6,14,,1,3,112,93,0,1,0,0,,285,10,297,385,77.1428,EXTRAORDINARIA 02
45,BALANCAN,4,59,11,42,,5,0,174,37,0,0,0,1,,338,9,348,537,64.8044,BASICA
45,BALANCAN,1,89,26,60,,2,3,111,93,0,0,0,0,,385,17,402,534,75.2808,EXTRAORDINARIA 01
46,CARDENAS,3,13,83,6,2,3,2,256,0,0,0,0,1,3,372,13,385,580,66.3793,BASICA
46,CARDENAS,2,11,95,3,7,5,4,238,0,0,0,0,0,2,367,10,377,580,65,CONTIGUA 01
47,CARDENAS,1,10,96,7,7,1,7,269,3,1,0,0,2,4,408,20,428,680,62.9411,BASICA
47,CARDENAS,1,8,87,1,7,3,0,260,4,1,0,0,1,0,373,22,395,680,58.0882,CONTIGUA 01
47,CARDENAS,4,6,100,7,9,2,3,236,0,0,0,0,0,1,368,11,379,680,55.7352,CONTIGUA 02
47,CARDENAS,3,14,84,5,5,3,1,243,7,0,0,0,0,3,368,17,385,680,56.6176,CONTIGUA 03
47,CARDENAS,1,21,99,5,5,2,0,262,3,1,0,0,0,3,402,13,415,680,61.0294,CONTIGUA 04
47,CARDENAS,0,11,109,6,5,1,2,246,3,1,2,0,1,2,389,11,400,680,58.8235,CONTIGUA 05
47,CARDENAS,3,9,103,8,8,6,2,242,4,1,1,0,0,7,394,16,410,680,60.2941,CONTIGUA 06
47,CARDENAS,1,16,62,4,1,2,0,260,0,1,0,0,0,1,348,16,364,550,66.1818,EXTRAORDINARIA 01
48,CARDENAS,1,15,86,6,3,0,2,215,6,0,2,0,0,0,336,20,356,562,63.3451,BASICA
48,CARDENAS,1,22,89,5,5,3,5,218,6,0,0,0,0,3,357,18,375,561,66.8449,CONTIGUA 01
48,CARDENAS,1,5,87,1,1,1,1,231,2,0,2,0,1,3,336,10,346,561,61.6755,CONTIGUA 02
49,CARDENAS,0,12,81,5,0,0,2,221,2,0,0,0,0,0,323,11,334,494,67.6113,BASICA
49,CARDENAS,2,7,72,4,4,1,1,229,1,0,0,0,0,5,326,12,338,493,68.5598,CONTIGUA 01
50,CARDENAS,4,15,82,0,4,1,0,224,6,0,0,0,0,2,338,18,356,538,66.171,BASICA
50,CARDENAS,1,23,11,1,0,5,2,299,6,0,0,0,0,4,352,7,359,538,66.7286,CONTIGUA 01
50,CARDENAS,3,13,84,7,3,4,0,229,1,0,0,0,0,0,344,8,352,537,65.5493,CONTIGUA 02
51,CARDENAS,1,7,99,6,8,4,0,203,9,0,1,0,0,2,340,11,351,537,65.3631,BASICA
51,CARDENAS,1,14,84,4,1,2,2,207,6,1,0,0,0,1,323,11,334,537,62.1973,CONTIGUA 01
51,CARDENAS,2,4,92,11,3,1,0,229,6,2,0,0,0,6,356,8,364,537,67.7839,CONTIGUA 02
52,CARDENAS,2,12,119,8,5,3,0,292,0,1,1,0,1,3,447,14,461,706,65.2974,BASICA
52,CARDENAS,1,12,120,9,5,3,1,272,3,1,0,0,0,1,428,14,442,705,62.695,CONTIGUA 01
53,CARDENAS,1,12,84,10,7,0,1,288,4,0,0,0,0,2,409,15,424,651,65.1305,BASICA
53,CARDENAS,3,8,114,7,6,4,2,278,3,0,0,0,0,2,427,13,440,650,67.6923,CONTIGUA 01
53,CARDENAS,4,9,114,7,1,1,1,285,5,1,0,0,0,0,428,13,441,650,67.8461,CONTIGUA 02
54,CARDENAS,1,25,95,8,5,3,3,234,4,0,2,0,2,2,384,11,395,626,63.099,BASICA
54,CARDENAS,7,18,87,4,8,0,3,245,0,0,0,0,1,1,374,21,395,625,63.2,CONTIGUA 01
55,CARDENAS,2,32,85,4,9,1,4,321,3,0,1,1,0,2,465,16,482,733,65.7571,BASICA
55,CARDENAS,2,22,110,8,8,6,7,289,3,1,0,0,0,3,459,23,482,733,65.7571,CONTIGUA 01
55,CARDENAS,1,22,88,8,6,4,2,309,8,0,0,0,0,1,449,21,470,733,64.12,CONTIGUA 02
55,CARDENAS,9,18,103,10,1,4,3,322,3,1,0,0,0,6,480,6,486,733,66.3028,CONTIGUA 03
55,CARDENAS,4,26,93,9,4,3,3,323,5,1,0,0,0,2,473,16,489,733,66.7121,CONTIGUA 04
56,CARDENAS,1,10,92,5,15,5,1,239,6,4,1,0,0,1,380,10,390,548,71.1678,BASICA
56,CARDENAS,0,12,63,8,4,3,1,250,6,0,0,0,0,2,349,13,362,547,66.1791,CONTIGUA 01
57,CARDENAS,3,25,65,4,4,1,1,256,6,0,0,0,0,1,366,8,374,617,60.6158,BASICA
58,CARDENAS,0,26,62,3,0,1,0,171,3,1,0,0,0,4,271,10,282,377,74.801,BASICA
58,CARDENAS,2,9,54,3,6,1,2,178,4,0,0,0,0,0,259,11,271,377,71.8832,CONTIGUA 01
59,CARDENAS,1,26,69,5,3,1,1,222,1,0,0,0,1,0,330,8,338,460,73.4782,BASICA
59,CARDENAS,1,20,62,6,2,2,4,228,3,0,0,0,0,0,328,3,334,460,72.6086,CONTIGUA 01
60,CARDENAS,2,19,85,3,1,3,0,249,3,1,1,0,2,0,369,12,381,500,76.2,BASICA
60,CARDENAS,1,14,86,2,4,0,0,234,5,1,0,0,0,0,347,6,353,499,70.7414,CONTIGUA 01
61,CARDENAS,0,20,53,0,2,3,0,289,8,0,0,0,0,2,377,25,402,640,62.8125,BASICA
62,CARDENAS,1,7,74,8,2,4,1,176,2,0,0,0,0,1,276,11,287,412,69.6601,BASICA
62,CARDENAS,1,13,61,3,3,2,2,203,3,0,0,0,1,0,292,7,299,411,72.7493,CONTIGUA 01
63,CARDENAS,4,11,89,3,7,4,1,312,3,1,0,0,1,3,439,16,455,635,71.6535,BASICA
63,CARDENAS,1,8,93,7,8,4,3,289,7,4,1,0,2,4,431,7,438,635,68.9763,CONTIGUA 01
63,CARDENAS,0,10,75,2,4,3,2,309,4,0,0,0,0,1,410,7,417,635,65.6692,CONTIGUA 02
63,CARDENAS,3,20,85,6,7,3,2,305,7,0,0,0,1,0,439,12,451,634,71.1356,CONTIGUA 03
64,CARDENAS,3,22,78,6,3,3,6,317,9,0,0,0,1,2,450,13,465,659,70.5614,BASICA
64,CARDENAS,3,19,89,10,2,1,1,299,8,0,0,0,0,2,434,10,444,659,67.3748,CONTIGUA 01
65,CARDENAS,0,13,51,3,3,4,2,250,1,0,0,0,1,1,329,12,342,498,68.6746,BASICA
65,CARDENAS,2,22,59,2,0,0,0,259,1,1,0,1,2,2,351,8,361,497,72.6358,CONTIGUA 01
66,CARDENAS,3,56,84,9,4,0,6,312,4,0,0,0,0,0,478,19,497,697,71.3055,BASICA
67,CARDENAS,6,35,84,8,10,1,2,253,5,0,1,0,1,4,410,9,419,600,69.8333,BASICA
68,CARDENAS,2,43,98,7,8,3,0,291,2,0,1,0,0,2,457,15,472,665,70.9774,BASICA
69,CARDENAS,2,11,87,0,6,5,1,307,3,2,0,0,0,0,424,10,434,643,67.4961,BASICA
70,CARDENAS,1,18,93,2,9,3,2,283,4,1,0,0,0,4,420,5,425,582,73.024,BASICA
70,CARDENAS,3,13,74,7,7,2,0,305,3,0,0,0,0,2,416,10,426,582,73.1958,CONTIGUA 01
70,CARDENAS,2,16,79,9,4,0,1,310,2,0,0,0,0,0,423,7,430,581,74.0103,CONTIGUA 02
71,CARDENAS,4,13,125,16,6,3,3,274,7,0,0,0,0,7,458,14,472,719,65.6467,BASICA
71,CARDENAS,3,18,91,8,2,5,1,272,5,0,0,0,0,4,409,17,426,719,59.2489,CONTIGUA 01
71,CARDENAS,4,12,119,5,2,3,4,293,2,1,0,0,0,2,447,16,463,719,64.3949,CONTIGUA 02
71,CARDENAS,2,9,125,7,2,5,1,321,2,0,0,0,0,3,477,10,487,719,67.7329,CONTIGUA 03
71,CARDENAS,4,16,110,13,7,3,2,297,0,0,0,0,0,1,453,18,471,719,65.5076,CONTIGUA 04
71,CARDENAS,4,23,115,94,1,9,4,293,0,0,0,0,0,2,545,16,561,719,78.025,CONTIGUA 05
72,CARDENAS,5,20,83,8,8,3,3,250,2,0,0,0,0,1,383,11,395,573,68.9354,BASICA
72,CARDENAS,1,21,99,0,4,7,2,239,4,3,0,0,0,0,380,19,399,572,69.7552,CONTIGUA 01
72,CARDENAS,0,1,24,1,0,1,0,45,1,0,0,0,0,0,73,2,75,,,ESPECIAL MR 01
73,CARDENAS,1,11,70,4,3,0,2,167,1,1,0,0,0,1,261,8,269,410,65.6097,BASICA
73,CARDENAS,1,14,59,4,0,2,4,183,1,1,0,0,0,6,275,7,282,409,68.9486,CONTIGUA 01
74,CARDENAS,3,26,64,4,6,1,2,350,2,0,0,0,1,0,459,23,484,698,69.3409,BASICA
74,CARDENAS,0,6,16,2,1,0,0,42,0,0,0,0,0,1,68,0,68,,,ESPECIAL MR 01
75,CARDENAS,6,22,57,2,4,2,9,308,2,1,0,0,1,0,414,10,424,628,67.5159,BASICA
75,CARDENAS,1,11,83,5,6,3,5,309,3,0,0,0,0,3,429,13,442,627,70.4944,CONTIGUA 01
76,CARDENAS,1,18,45,6,1,2,5,192,1,0,0,0,0,2,273,14,287,400,71.75,BASICA
76,CARDENAS,1,16,46,3,2,0,0,199,3,1,1,0,0,2,274,6,280,399,70.1754,CONTIGUA 01
77,CARDENAS,0,12,82,8,4,2,1,240,4,0,0,0,0,4,357,2,359,488,73.5655,BASICA
77,CARDENAS,3,11,74,2,3,3,3,259,3,0,0,0,0,0,361,15,377,487,77.4127,CONTIGUA 01
78,CARDENAS,3,11,77,7,5,3,3,242,5,2,0,0,0,3,361,3,364,493,73.8336,BASICA
78,CARDENAS,2,13,63,4,0,66,3,252,6,0,0,0,0,5,414,5,419,492,85.1626,CONTIGUA 01
79,CARDENAS,3,22,94,3,4,1,5,241,5,3,0,0,0,2,383,13,396,536,73.8805,BASICA
79,CARDENAS,5,20,94,2,6,3,3,237,0,1,0,0,0,1,372,11,383,535,71.5887,CONTIGUA 01
80,CARDENAS,4,21,86,5,4,3,3,289,3,1,0,0,0,1,420,12,432,678,63.7168,BASICA
81,CARDENAS,1,21,120,4,10,6,1,282,1,0,0,0,1,3,450,12,462,653,70.7503,BASICA
81,CARDENAS,3,11,119,5,4,3,3,269,3,1,0,0,0,2,423,18,441,653,67.5344,CONTIGUA 01
81,CARDENAS,1,16,3,2,11,5,4,271,5,1,0,0,0,2,321,4,326,652,50,CONTIGUA 02
82,CARDENAS,3,4,100,6,8,1,1,222,4,1,0,0,0,1,351,10,361,516,69.9612,BASICA
82,CARDENAS,1,13,88,9,4,4,1,211,5,0,1,0,0,4,341,15,356,516,68.9922,CONTIGUA 01
83,CARDENAS,4,16,111,6,3,5,4,289,5,0,0,0,0,0,443,10,453,615,73.6585,BASICA
83,CARDENAS,2,11,101,6,2,6,2,306,3,0,0,0,0,0,439,8,450,614,73.2899,CONTIGUA 01
84,CARDENAS,1,17,75,3,5,2,3,224,3,0,0,0,0,0,333,8,341,510,66.8627,BASICA
84,CARDENAS,1,12,69,9,4,7,4,242,4,1,0,0,0,1,354,7,361,510,70.7843,CONTIGUA 01
84,CARDENAS,3,16,79,7,4,5,6,234,5,0,0,0,0,1,360,10,370,510,72.549,CONTIGUA 02
85,CARDENAS,4,24,91,9,5,2,4,4,4,0,0,0,0,0,147,16,163,670,24.3283,BASICA
85,CARDENAS,3,30,97,6,7,1,5,294,3,2,0,0,0,2,450,17,467,670,69.7014,CONTIGUA 01
86,CARDENAS,5,10,97,6,3,4,5,286,5,1,0,0,0,2,424,13,438,649,67.4884,BASICA
86,CARDENAS,2,15,95,8,2,3,2,270,4,2,0,0,0,0,403,9,412,649,63.4822,CONTIGUA 01
86,CARDENAS,1,14,101,6,1,6,1,278,6,0,0,0,0,1,415,15,430,649,66.2557,CONTIGUA 02
86,CARDENAS,2,24,92,7,4,1,4,273,5,1,0,0,2,2,417,8,425,648,65.5864,CONTIGUA 03
86,CARDENAS,0,13,106,6,0,5,6,280,4,0,0,0,0,3,423,9,432,648,66.6666,CONTIGUA 04
87,CARDENAS,0,13,96,1,4,1,1,226,2,0,0,0,0,2,346,12,358,571,62.697,BASICA
87,CARDENAS,2,6,72,6,3,4,0,239,4,1,0,0,0,3,340,11,351,571,61.4711,CONTIGUA 01
87,CARDENAS,2,2,93,5,7,5,1,214,4,0,0,0,1,4,338,12,350,570,61.4035,CONTIGUA 02
87,CARDENAS,1,9,76,4,5,3,2,228,1,0,0,0,0,4,333,9,342,570,60,CONTIGUA 03
88,CARDENAS,3,19,92,7,2,6,4,318,4,0,0,0,0,0,455,9,464,636,72.9559,BASICA
88,CARDENAS,5,10,105,6,4,1,2,300,2,0,1,0,0,1,437,16,453,636,71.2264,CONTIGUA 01
88,CARDENAS,3,9,109,10,4,4,3,309,3,0,2,3,1,1,461,13,474,636,74.5283,CONTIGUA 02
89,CARDENAS,3,7,101,5,8,3,2,293,2,0,0,0,0,0,424,22,446,692,64.4508,BASICA
89,CARDENAS,3,8,108,6,6,1,3,265,2,1,1,0,1,2,407,11,418,692,60.4046,CONTIGUA 01
89,CARDENAS,3,12,105,9,7,8,0,254,3,1,0,0,2,2,406,22,428,692,61.8497,CONTIGUA 02
90,CARDENAS,1,45,131,13,5,2,3,216,2,4,0,0,0,4,426,44,470,616,76.2987,BASICA
90,CARDENAS,2,34,127,5,4,2,0,243,5,3,0,0,0,4,429,23,452,616,73.3766,CONTIGUA 01
91,CARDENAS,5,19,145,0,5,8,2,237,1,5,1,0,1,1,430,19,449,611,73.486,BASICA
91,CARDENAS,3,18,119,3,10,4,2,259,2,0,2,0,2,2,426,22,448,611,73.3224,CONTIGUA 01
92,CARDENAS,2,30,113,10,7,6,3,295,2,1,0,0,1,0,470,22,492,733,67.1214,BASICA
92,CARDENAS,6,46,125,11,4,4,4,271,2,0,0,0,0,0,473,28,501,733,68.3492,CONTIGUA 01
93,CARDENAS,2,41,83,15,3,5,6,220,2,3,0,0,0,4,384,25,409,572,71.5034,BASICA
93,CARDENAS,3,40,75,11,2,8,2,219,2,1,0,0,0,3,366,18,384,572,67.1328,CONTIGUA 01
93,CARDENAS,0,1,11,3,0,1,0,44,0,0,0,0,0,0,60,0,60,,,ESPECIAL MR 01
94,CARDENAS,3,57,32,7,4,8,1,131,1,0,1,0,0,0,245,21,266,383,69.4516,BASICA
94,CARDENAS,4,39,43,8,4,3,2,133,0,0,0,0,1,1,238,13,251,382,65.7068,CONTIGUA 01
95,CARDENAS,4,19,136,10,6,8,4,200,4,1,0,0,1,1,394,29,423,672,62.9464,BASICA
95,CARDENAS,6,32,104,16,11,7,1,210,4,3,0,0,2,7,403,46,449,672,66.8154,CONTIGUA 01
96,CARDENAS,3,41,47,2,8,4,1,125,2,1,2,0,1,0,237,15,252,376,67.0212,BASICA
96,CARDENAS,1,32,58,6,4,1,0,140,0,1,0,0,3,0,246,18,264,375,70.4,CONTIGUA 01
97,CARDENAS,1,39,103,2,1,7,4,169,2,0,0,0,0,1,329,11,340,495,68.6868,BASICA
97,CARDENAS,0,42,90,1,2,5,0,181,1,0,0,0,0,2,324,11,335,494,67.8137,CONTIGUA 01
98,CARDENAS,2,35,134,1,9,11,2,291,1,1,0,1,0,1,489,18,507,726,69.8347,BASICA
98,CARDENAS,1,26,124,0,4,5,5,317,1,3,0,0,1,4,491,20,514,726,70.7988,CONTIGUA 01
99,CARDENAS,5,35,63,5,6,2,2,163,0,6,3,0,0,1,291,14,305,418,72.9665,BASICA
99,CARDENAS,1,18,39,1,10,9,1,189,0,3,0,0,0,0,271,14,285,418,68.1818,CONTIGUA 01
99,CARDENAS,6,55,154,3,10,6,10,218,3,0,0,0,0,1,466,30,496,744,66.6666,EXTRAORDINARIA 01
100,CARDENAS,3,34,110,4,7,6,2,237,5,1,1,0,1,1,412,23,435,643,67.6516,BASICA
100,CARDENAS,0,43,110,3,4,3,226,2,0,1,0,0,1,1,394,21,416,643,64.6967,CONTIGUA 01
100,CARDENAS,2,29,75,5,0,1,5,282,0,0,0,0,0,0,399,21,420,643,65.3188,CONTIGUA 02
101,CARDENAS,5,47,120,5,4,8,3,231,4,1,1,0,0,4,433,0,434,747,58.099,BASICA
101,CARDENAS,13,15,128,5,3,6,1,208,2,2,1,0,0,2,386,26,412,651,63.2872,EXTRAORDINARIA 01
102,CARDENAS,0,4,98,0,3,0,1,100,2,0,0,0,1,0,209,9,218,281,77.58,BASICA
102,CARDENAS,3,10,164,0,6,6,2,155,6,4,0,0,4,1,361,25,386,592,65.2027,EXTRAORDINARIA 01
103,CARDENAS,0,29,110,2,9,6,4,170,6,0,1,0,1,2,340,18,358,501,71.457,BASICA
103,CARDENAS,0,46,86,4,7,8,8,190,3,0,2,0,1,0,355,13,369,501,73.6526,CONTIGUA 01
103,CARDENAS,0,30,83,4,3,9,1,204,3,0,0,0,0,0,337,13,350,500,70,CONTIGUA 02
104,CARDENAS,0,1,74,1,4,0,5,200,3,1,0,0,0,0,289,8,297,483,61.4906,BASICA
104,CARDENAS,1,21,81,0,10,3,6,176,1,0,0,0,0,0,299,14,313,483,64.8033,CONTIGUA 01
105,CARDENAS,1,47,107,0,9,17,5,219,3,0,0,1,1,1,411,29,440,725,60.6896,BASICA
105,CARDENAS,3,62,90,4,7,30,9,219,2,0,0,0,4,1,431,21,452,724,62.4309,CONTIGUA 01
106,CARDENAS,3,55,87,5,9,4,4,192,4,1,1,0,0,0,365,17,382,563,67.8507,BASICA
106,CARDENAS,2,20,86,2,10,3,2,212,2,0,0,0,1,2,342,10,352,563,62.5222,CONTIGUA 01
107,CARDENAS,2,30,95,0,5,7,2,259,3,2,0,0,0,0,405,18,423,614,68.8925,BASICA
107,CARDENAS,1,35,134,4,6,0,6,219,4,0,0,0,0,3,412,15,427,613,69.6574,CONTIGUA 01
108,CARDENAS,3,54,92,0,7,5,6,245,0,0,2,0,0,5,419,0,419,627,66.8261,BASICA
109,CARDENAS,1,28,64,2,7,6,4,172,5,0,0,0,0,3,292,17,309,490,63.0612,BASICA
109,CARDENAS,0,32,71,1,4,9,2,184,2,0,0,0,0,0,305,17,322,489,65.8486,CONTIGUA 01
109,CARDENAS,0,2,22,2,0,1,0,41,1,0,0,0,1,1,71,5,76,99,76.7676,EXTRAORDINARIA 01
110,CARDENAS,3,18,84,7,7,5,4,191,0,1,3,0,0,1,324,28,352,580,60.6896,BASICA
110,CARDENAS,2,14,91,5,12,4,0,183,5,0,0,0,0,0,316,37,353,579,60.9671,CONTIGUA 01
110,CARDENAS,5,8,70,6,11,5,4,180,7,0,1,2,0,1,300,15,315,579,54.4041,CONTIGUA 02
110,CARDENAS,0,29,67,2,5,5,4,181,4,1,0,0,0,0,298,22,320,579,55.2677,CONTIGUA 03
111,CARDENAS,0,23,219,2,5,8,2,232,2,0,1,0,4,3,501,9,510,649,78.5824,BASICA
112,CARDENAS,0,41,127,0,2,0,5,171,0,0,0,0,0,0,346,8,354,490,72.2448,BASICA
