SECCION ELECTORAL,MUNICIPIO,EXTRA DATA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1420,PUEBLA,1,2,,,,
1423,PUEBLA,3,2,,,,
1424,PUEBLA,3,2,,,,
1425,PUEBLA,3,2,,,,
1426,PUEBLA,3,2,,,,
1427,PUEBLA,3,2,,,,
1428,PUEBLA,3,2,,,,
1429,PUEBLA,3,2,,,,
1432,PUEBLA,3,2,,,,
1434,PUEBLA,2,2,,,,
1437,PUEBLA,2,2,,,,
1447,PUEBLA,2,2,,,,
1455,PUEBLA,2,2,,,,
1457,PUEBLA,2,2,,,,
1458,PUEBLA,2,2,,,,
1464,PUEBLA,2,2,,,,
1467,PUEBLA,2,2,,,,
1469,PUEBLA,2,2,,,,
1474,PUEBLA,2,2,,,,
1476,PUEBLA,2,2,,,,
1489,PUEBLA,2,2,,,,
1490,PUEBLA,2,2,,,,
1494,PUEBLA,2,2,,,,
1501,PUEBLA,2,2,,,,
1509,PUEBLA,2,,,,,
1510,PUEBLA,2,,,,,
1513,PUEBLA,2,,,,,
1516,PUEBLA,2,,,,,
1519,PUEBLA,2,,,,,
1523,PUEBLA,2,,,,,
1532,PUEBLA,2,,,,,
1534,PUEBLA,1,,,,,
1537,PUEBLA,1,,,,,
1538,PUEBLA,2,,,,,
1541,PUEBLA,2,,,,,
1552,PUEBLA,1,,,,,
1554,PUEBLA,2,,,,,
1555,PUEBLA,1,,,,,
1561,PUEBLA,1,,,,,
1562,PUEBLA,1,,,,,
1565,PUEBLA,1,,,,,
1572,PUEBLA,2,,,,,
1574,PUEBLA,2,,,,,
1586,PUEBLA,1,,,,,
1587,PUEBLA,1,,,,,
1588,PUEBLA,1,,,,,
1589,PUEBLA,1,,,,,
1591,PUEBLA,1,,,,,
1593,PUEBLA,1,,,,,
1594,PUEBLA,1,,,,,
1595,PUEBLA,1,,,,,
1596,PUEBLA,1,,,,,
1598,PUEBLA,2,,,,,
1602,PUEBLA,3,,,,,
1603,PUEBLA,1,,,,,
1604,PUEBLA,1,,,,,
1605,PUEBLA,1,,,,,
1606,PUEBLA,1,,,,,
1608,PUEBLA,2,,,,,
2550,PUEBLA,2,,,,,
2552,PUEBLA,2,,,,,
