clave,municipio
1,BALANCAN
2,CARDENAS
3,CENTLA
4,CENTRO
5,COMALCALCO
6,CUNDUACAN
7,EMILIANO ZAPATA
8,HUIMANGUILLO
9,JALAPA
10,JALPA DE MENDEZ
11,JONUTA
12,MACUSPANA
13,NACAJUCA
14,PARAISO
15,TACOTALPA
16,TEAPA
17,TENOSIQUE
