SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN0PRI0PRD,PAN0PRI,PAN0PRD,PRI0PRD,PVEM0PT0MORENA,PVEM0PT,PVEM0MORENA,PT0MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1735,SAN MARTIN TEXMELUCAN,63,31,0,6,19,62,82,9,1,23,0,0,0,1,0,0,0,0,0,0,5,312,561,B,5,7
1735,SAN MARTIN TEXMELUCAN,59,40,7,12,17,39,69,10,4,17,0,0,0,0,0,1,0,0,0,0,0,283,561,C,5,7
1735,SAN MARTIN TEXMELUCAN,76,43,5,16,43,43,143,12,4,17,0,0,0,0,0,0,0,0,0,0,0,421,0,S,5,7
1735,SAN MARTIN TEXMELUCAN,55,29,2,9,19,22,108,5,2,8,0,0,0,0,0,0,0,0,0,0,0,259,0,S,5,7
1736,SAN MARTIN TEXMELUCAN,79,39,8,19,16,49,57,15,1,8,0,0,0,5,0,0,0,1,0,0,0,309,497,B,5,7
1737,SAN MARTIN TEXMELUCAN,83,59,4,15,43,56,92,10,3,24,0,0,0,4,1,0,0,2,0,0,2,417,686,B,5,7
1737,SAN MARTIN TEXMELUCAN,6,8,5,6,13,10,29,6,2,7,0,0,0,0,0,1,0,0,0,0,2,99,0,S,5,7
1737,SAN MARTIN TEXMELUCAN,25,9,1,7,34,4,60,1,4,4,0,0,0,0,0,0,0,0,0,0,0,159,0,S,5,7
1738,SAN MARTIN TEXMELUCAN,56,25,8,8,17,28,56,16,3,15,0,0,0,0,1,0,0,0,0,0,0,243,394,B,5,7
1738,SAN MARTIN TEXMELUCAN,42,14,5,13,12,25,67,6,2,15,0,0,0,2,1,1,0,0,0,0,0,212,394,C,5,7
1739,SAN MARTIN TEXMELUCAN,53,29,9,10,26,33,97,14,4,9,0,0,0,1,0,0,0,2,0,0,3,304,634,B,5,7
1739,SAN MARTIN TEXMELUCAN,59,20,6,14,34,40,92,15,3,10,0,0,0,2,0,0,0,0,0,0,3,307,634,C,5,7
1740,SAN MARTIN TEXMELUCAN,58,23,5,15,40,29,74,11,14,12,0,0,0,1,1,0,0,0,3,0,0,307,641,B,5,7
1740,SAN MARTIN TEXMELUCAN,52,21,8,21,47,30,80,17,5,10,0,0,0,3,0,0,0,0,0,0,2,312,640,C,5,7
1741,SAN MARTIN TEXMELUCAN,33,19,6,8,40,27,59,13,3,11,0,0,0,0,0,0,0,0,0,0,0,233,465,B,5,7
1741,SAN MARTIN TEXMELUCAN,35,14,5,11,34,29,87,15,3,7,0,0,0,1,0,3,0,0,0,0,3,255,465,C,5,7
1742,SAN MARTIN TEXMELUCAN,50,31,10,17,35,29,105,26,4,14,0,0,0,4,1,1,0,1,0,2,2,346,722,B,5,7
1742,SAN MARTIN TEXMELUCAN,41,33,8,10,33,39,108,17,2,10,0,0,0,1,0,1,0,0,0,0,4,320,722,C,5,7
1742,SAN MARTIN TEXMELUCAN,36,25,2,10,50,53,116,12,3,17,0,0,0,1,0,0,0,1,1,0,3,346,721,C,5,7
1743,SAN MARTIN TEXMELUCAN,51,30,2,18,24,55,120,28,11,28,0,0,0,2,1,0,0,0,0,0,1,392,745,B,5,7
1743,SAN MARTIN TEXMELUCAN,67,30,7,20,27,66,105,25,7,19,0,0,0,2,1,4,3,0,0,0,0,400,744,C,5,7
1744,SAN MARTIN TEXMELUCAN,47,34,3,26,32,49,105,14,15,4,0,0,0,2,0,1,0,0,0,0,4,344,601,B,5,7
1744,SAN MARTIN TEXMELUCAN,33,24,6,13,26,49,107,12,1,17,0,0,0,2,0,0,0,0,0,1,1,312,600,C,5,7
1745,SAN MARTIN TEXMELUCAN,38,19,4,19,20,47,104,17,1,17,0,0,0,2,0,1,0,1,0,0,2,305,619,B,5,7
1745,SAN MARTIN TEXMELUCAN,36,24,1,14,14,64,94,17,1,20,0,0,0,2,2,0,0,0,0,0,1,303,618,C,5,7
1746,SAN MARTIN TEXMELUCAN,33,47,2,31,16,45,89,14,1,15,0,0,0,0,3,0,0,0,0,0,1,313,661,B,5,7
