SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,CPP,PSI,MORENA,PES,PANAL,C_PRD_MC_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_MC_CPP,C_PRD_MC_CPP,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PT_PVEM_MORENA_PES,C_PT_PVEM_MORENA,C_PT_PVEM_PES,C_PT_MORENA_PES,C_PVEM_MORENA_PES,C_PT_PVEM,C_PT_MORENA,C_PT_PES,C_PVEM_MORENA,C_PVEM_PES,C_MORENA_PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_CPP,C_PRI_CPP,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
265,CAÑADA MORELOS,38,211,5,10,5,8,6,0,70,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,372,671,C,4,25
265,CAÑADA MORELOS,43,167,3,12,2,5,8,0,68,1,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,329,671,C,4,25
265,CAÑADA MORELOS,38,194,5,12,4,4,5,0,66,1,0,0,0,0,0,2,1,1,2,0,0,0,3,0,0,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,360,670,C,4,25
266,CAÑADA MORELOS,11,229,1,20,5,4,3,0,144,4,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,3,1,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0,446,721,B,4,25
267,CAÑADA MORELOS,1,159,5,12,6,0,1,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,300,484,B,4,25
267,CAÑADA MORELOS,3,117,0,21,1,0,0,0,121,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,286,487,E,4,25
268,CAÑADA MORELOS,11,176,1,9,3,5,2,0,62,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,300,456,B,4,25
268,CAÑADA MORELOS,6,154,2,17,4,2,6,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,282,455,C,4,25
268,CAÑADA MORELOS,13,233,2,16,5,4,6,0,71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,363,551,E,4,25
269,CAÑADA MORELOS,4,224,0,7,0,1,1,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,305,405,B,4,25
270,CAÑADA MORELOS,35,278,2,13,4,0,8,0,73,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,1,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,445,698,B,4,25
270,CAÑADA MORELOS,39,203,7,20,4,3,3,0,72,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,382,698,C,4,25
270,CAÑADA MORELOS,50,193,5,11,7,8,4,0,69,1,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,379,698,C,4,25
270,CAÑADA MORELOS,44,212,5,15,3,5,6,0,66,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,393,697,C,4,25
