SECCION ELECTORAL,MUNICIPIO,PAN_CONVERGENCIA_NA_PRD,PRI_VERDE,PT,CANDIDATOS NO REGISTRADOS,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
129,AMOZOC,194,136,33,0,0,718,CONTIGUA 2,7,12
129,AMOZOC,198,147,26,0,0,719,CONTIGUA 6,7,12
130,AMOZOC,146,146,12,2,318,524,BÁSICA,7,12
130,AMOZOC,163,146,14,0,334,525,CONTIGUA 1,7,12
130,AMOZOC,117,182,21,0,336,525,CONTIGUA 2,7,12
131,AMOZOC,171,167,9,0,365,651,CONTIGUA 2,7,12
131,AMOZOC,209,130,13,0,366,651,CONTIGUA 1,7,12
131,AMOZOC,196,169,17,1,402,651,CONTIGUA 3,7,12
131,AMOZOC,201,152,14,0,0,651,BÁSICA,7,12
132,AMOZOC,149,213,24,18,404,703,CONTIGUA 2,7,12
132,AMOZOC,168,215,15,0,415,703,BÁSICA,7,12
132,AMOZOC,181,215,17,0,430,703,CONTIGUA 1,7,12
132,AMOZOC,203,201,22,0,436,704,CONTIGUA 3,7,12
132,AMOZOC,182,217,26,0,442,704,CONTIGUA 4,7,12
133,AMOZOC,156,185,11,0,369,658,BÁSICA,7,12
133,AMOZOC,196,206,8,0,427,659,CONTIGUA 1,7,12
134,AQUIXTLA,200,176,0,0,402,589,CONTIGUA 2,2,3
134,AQUIXTLA,190,195,0,0,419,588,BÁSICA,2,3
134,AQUIXTLA,192,207,0,0,423,588,CONTIGUA 1,2,3
135,AQUIXTLA,147,183,0,0,349,505,BÁSICA,2,3
136,AQUIXTLA,162,222,0,0,405,578,CONTIGUA 1,2,3
136,AQUIXTLA,139,253,0,0,413,578,BÁSICA,2,3
137,AQUIXTLA,159,213,0,0,390,571,CONTIGUA 1,2,3
137,AQUIXTLA,134,244,0,0,400,570,BÁSICA,2,3
138,AQUIXTLA,198,261,0,0,489,689,BÁSICA,2,3
139,ATEMPAN,217,98,45,0,395,702,CONTIGUA 1,3,5
139,ATEMPAN,230,92,37,5,410,703,CONTIGUA 2,3,5
139,ATEMPAN,229,101,57,2,418,702,BÁSICA,3,5
140,ATEMPAN,182,94,52,0,359,594,BÁSICA,3,5
140,ATEMPAN,214,90,31,2,364,594,CONTIGUA 1,3,5
140,ATEMPAN,213,102,29,5,367,595,CONTIGUA 3,3,5
140,ATEMPAN,225,107,33,1,392,595,CONTIGUA 2,3,5
141,ATEMPAN,153,52,26,0,246,421,BÁSICA,3,5
142,ATEMPAN,33,9,3,0,46,66,BÁSICA,3,5
143,ATEMPAN,0,0,0,0,0,709,BÁSICA,3,5
143,ATEMPAN,0,0,0,0,0,691,EXTRAORDINARIA 1,3,5
143,ATEMPAN,0,0,0,0,0,691,EXTRAORDINARIA 2,3,5
144,ATEMPAN,194,70,26,2,307,448,EXTRAORDINARIA 1,3,5
