MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
PUEBLA,1380,388,117,14,41,27,16,232,52,9,10,3,85,4,10,6,1049,2668,BAJA (A)
PUEBLA,1588,265,202,8,49,27,22,231,57,7,4,0,96,13,8,5,1036,4106,BAJA (A)
PUEBLA,1606,269,205,14,82,32,13,249,46,3,11,0,65,7,12,6,1030,3699,BAJA (A)
PUEBLA,1033,446,84,17,51,26,13,205,67,7,2,0,54,4,13,8,1029,2710,BAJA (A)
PUEBLA,1590,335,144,16,59,36,18,240,43,6,4,0,76,3,8,7,1021,2631,BAJA (A)
PUEBLA,1182,513,55,10,35,17,25,181,79,6,4,0,45,1,5,6,1009,2136,BAJA (A)
PUEBLA,1591,316,134,14,43,37,18,240,56,8,4,0,74,8,9,5,999,3501,BAJA (A)
PUEBLA,1245,315,119,15,74,27,31,203,58,5,8,1,68,22,10,3,998,3334,BAJA (A)
PUEBLA,1187,534,49,11,23,9,27,162,98,10,5,0,33,0,4,1,992,1742,BAJA (A)
PUEBLA,2561,346,114,14,41,43,21,270,44,5,4,0,48,2,9,5,992,867,BAJA (A)
PUEBLA,1096,571,71,11,30,10,17,105,98,13,12,2,26,1,4,2,986,2305,BAJA (A)
PUEBLA,1535,316,89,12,42,11,29,252,67,7,9,0,78,4,17,4,982,2595,BAJA (A)
PUEBLA,1594,229,127,11,52,29,13,284,46,5,2,3,86,8,14,18,972,3083,BAJA (A)
PUEBLA,1200,320,140,18,43,17,16,228,51,3,3,0,84,6,10,4,972,2920,BAJA (A)
PUEBLA,1347,288,129,12,61,64,19,232,43,18,4,1,44,9,11,3,964,1451,BAJA (A)
PUEBLA,1008,362,110,18,43,16,22,189,62,8,6,2,57,6,17,5,957,3724,BAJA (A)
PUEBLA,1604,193,255,7,62,134,5,184,16,2,0,0,58,11,7,8,955,3319,BAJA (A)
PUEBLA,1036,367,93,16,33,11,20,228,59,9,4,0,70,0,12,3,953,2582,BAJA (A)
PUEBLA,1313,400,113,11,34,14,21,180,72,5,4,1,48,4,8,7,950,2219,BAJA (A)
PUEBLA,1244,274,170,7,66,33,20,184,48,8,6,1,59,9,10,6,947,3660,BAJA (A)
PUEBLA,1542,361,79,11,40,20,15,246,55,5,4,1,50,0,11,12,942,2009,BAJA (A)
PUEBLA,1005,503,57,9,17,11,26,141,95,6,8,2,29,1,3,4,941,1887,BAJA (A)
PUEBLA,977,309,113,9,36,11,8,157,43,4,5,0,44,1,5,4,939,2567,BAJA (A)
PUEBLA,1558,557,39,15,11,7,35,116,95,11,10,0,20,2,1,1,939,1582,BAJA (A)
PUEBLA,1091,376,92,15,45,17,18,197,61,4,7,1,61,2,7,2,934,2432,BAJA (A)
PUEBLA,1186,506,55,7,27,5,15,130,95,11,3,1,35,3,6,1,926,1665,BAJA (A)
PUEBLA,1050,327,111,14,45,17,19,201,69,5,10,1,58,6,10,5,925,3255,BAJA (A)
PUEBLA,1386,262,101,10,53,16,15,239,63,4,8,3,89,8,16,3,924,2820,BAJA (A)
PUEBLA,1536,428,76,13,33,3,32,196,63,10,6,2,37,0,8,2,924,2178,BAJA (A)
PUEBLA,1000,524,48,13,26,10,25,148,74,1,3,1,18,1,0,5,912,1715,BAJA (A)
PUEBLA,1191,372,83,14,48,16,20,194,53,8,5,2,53,5,7,3,910,2297,BAJA (A)
PUEBLA,1013,463,62,18,18,5,22,133,102,5,6,1,29,2,7,5,910,1622,BAJA (A)
PUEBLA,1410,282,171,10,51,57,15,165,45,4,9,0,61,6,7,2,908,4746,BAJA (A)
PUEBLA,1195,392,79,15,37,22,14,191,60,10,0,1,49,1,3,7,905,1962,BAJA (A)
PUEBLA,983,446,58,15,14,12,30,185,70,5,5,1,32,1,3,2,904,1865,BAJA (A)
PUEBLA,1078,234,122,10,51,34,22,235,43,10,7,0,75,8,11,8,904,4337,BAJA (A)
PUEBLA,1243,242,139,12,62,20,24,181,65,1,5,1,79,14,9,3,898,3110,BAJA (A)
PUEBLA,1198,327,60,24,39,15,25,241,43,7,6,0,66,5,10,3,891,2221,BAJA (A)
PUEBLA,1505,402,85,11,28,12,21,164,68,4,6,0,43,2,5,4,876,2131,BAJA (A)
PUEBLA,1153,549,32,10,17,9,26,72,103,2,11,2,15,2,7,1,869,1615,BAJA (A)
PUEBLA,1154,582,25,14,9,7,17,54,99,18,12,2,15,0,2,2,867,1495,BAJA (A)
PUEBLA,1355,302,108,14,39,10,23,200,44,8,6,1,58,7,14,3,865,2451,BAJA (A)
PUEBLA,1011,331,83,10,34,27,13,202,49,6,3,0,57,1,9,2,857,2304,BAJA (A)
PUEBLA,1304,333,68,8,30,11,26,241,53,4,4,1,44,3,8,3,856,1815,BAJA (A)
PUEBLA,1524,452,80,9,24,10,19,111,71,8,5,0,33,2,6,2,851,1783,BAJA (A)
PUEBLA,1476,295,85,17,40,27,18,205,53,3,0,1,63,0,5,3,849,1289,BAJA (A)
PUEBLA,1548,390,65,9,24,6,27,187,54,4,1,2,54,4,1,4,846,1687,BAJA (A)
PUEBLA,1175,379,79,9,34,19,13,136,74,8,4,1,41,7,8,7,846,1906,BAJA (A)
PUEBLA,1324,437,56,10,21,9,17,148,83,5,3,0,29,1,3,1,842,1606,BAJA (A)
PUEBLA,1002,351,89,12,40,19,15,182,40,5,5,1,53,4,7,2,842,2308,BAJA (A)
PUEBLA,1314,451,55,9,22,12,18,136,64,8,10,1,25,2,4,1,840,1608,BAJA (A)
PUEBLA,1190,390,56,8,31,13,17,190,70,8,5,1,26,2,5,1,837,1816,BAJA (A)
PUEBLA,1181,325,64,15,22,13,23,212,55,13,4,1,54,2,6,3,833,1916,BAJA (A)
PUEBLA,1172,488,39,7,15,7,11,132,74,12,2,0,21,4,3,4,831,1525,BAJA (A)
PUEBLA,1603,162,264,6,52,78,6,149,29,9,3,1,45,4,7,4,828,3412,BAJA (A)
PUEBLA,1217,345,76,9,22,12,18,148,54,7,8,24,57,5,10,2,826,1763,BAJA (A)
PUEBLA,982,377,52,9,29,11,22,142,99,7,5,1,32,0,7,3,822,1728,BAJA (A)
PUEBLA,1176,330,101,20,23,16,16,156,67,4,2,0,51,5,5,1,821,1848,BAJA (A)
PUEBLA,1173,428,43,13,21,4,19,133,79,5,7,1,37,1,4,1,816,1653,BAJA (A)
PUEBLA,1010,453,72,6,23,8,11,117,66,10,5,0,19,1,6,2,813,1770,BAJA (A)
PUEBLA,1559,397,27,17,15,9,18,176,74,10,9,0,33,0,6,1,811,1782,BAJA (A)
PUEBLA,1419,139,249,7,135,24,8,156,19,2,1,0,43,11,5,2,810,3011,BAJA (A)
PUEBLA,1062,225,113,9,57,22,17,193,46,5,5,2,56,4,8,9,809,3408,BAJA (A)
PUEBLA,1009,471,28,5,25,3,16,116,82,3,8,0,27,6,4,3,808,1564,BAJA (A)
PUEBLA,1525,370,71,7,22,10,23,176,50,3,4,3,35,1,2,2,808,1687,BAJA (A)
PUEBLA,1077,205,139,10,42,12,19,232,30,0,2,5,61,11,11,6,807,3573,BAJA (A)
PUEBLA,1099,424,62,19,21,6,16,111,85,5,11,2,26,4,1,5,805,1785,BAJA (A)
PUEBLA,1185,333,82,14,31,12,24,179,44,3,3,1,43,1,2,3,802,2024,BAJA (A)
PUEBLA,1382,393,39,7,13,8,21,157,80,6,8,1,39,1,3,2,799,1743,BAJA (A)
PUEBLA,1211,257,87,30,47,29,11,168,38,5,8,1,64,8,14,1,797,2380,BAJA (A)
PUEBLA,1092,313,78,15,24,16,12,184,58,5,5,2,46,2,6,2,796,2209,BAJA (A)
PUEBLA,1215,315,87,16,25,16,17,156,32,10,3,1,59,2,11,5,790,1973,BAJA (A)
PUEBLA,1034,287,73,14,34,25,14,194,53,2,2,1,55,1,4,5,786,1902,BAJA (A)
PUEBLA,1053,254,130,9,41,13,15,193,41,6,0,0,56,3,1,6,786,1439,BAJA (A)
PUEBLA,1584,249,106,11,41,15,20,180,26,11,2,1,54,3,6,8,785,2789,BAJA (A)
PUEBLA,973,289,66,14,23,11,20,177,70,11,7,1,40,5,3,4,778,1810,BAJA (A)
PUEBLA,1369,265,128,6,43,24,11,157,51,1,2,1,48,14,4,1,778,2451,BAJA (A)
PUEBLA,1583,169,99,6,50,21,15,229,39,9,3,0,70,10,7,6,772,2611,BAJA (A)
PUEBLA,1131,434,45,9,14,13,23,103,62,3,3,0,29,1,3,3,766,1433,BAJA (A)
PUEBLA,1607,172,148,7,39,81,7,198,16,6,2,0,57,4,11,6,766,2398,BAJA (A)
PUEBLA,1232,296,89,18,29,12,12,164,40,4,8,0,51,5,6,3,766,2036,BAJA (A)
PUEBLA,1437,529,22,7,17,8,20,57,70,2,6,2,11,0,1,3,763,1291,BAJA (A)
PUEBLA,1359,205,119,10,41,20,19,179,24,7,5,2,62,8,4,6,761,3053,BAJA (A)
PUEBLA,1457,442,43,8,14,3,24,87,85,10,2,1,20,0,2,1,757,1266,BAJA (A)
PUEBLA,1420,117,237,4,138,48,11,106,12,1,4,0,42,15,1,3,755,3290,BAJA (A)
