MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
TEHUACAN,1938,440,181,12,81,76,23,639,50,3,7,0,114,8,19,6,1707,6261,MEDIA (AA)
PALMAR DE BRAVO,899,281,401,19,104,23,19,145,112,87,84,12,121,43,82,58,1633,2577,MEDIA (AA)
ATLIXCO,160,627,214,14,62,26,23,429,60,7,11,2,76,4,17,5,1631,5961,MEDIA (AA)
SAN PEDRO CHOLULA,1801,845,91,24,41,24,56,243,188,11,12,1,48,3,5,3,1624,2458,MEDIA (AA)
PUEBLA,1188,874,106,16,35,17,32,274,107,12,10,2,54,0,13,4,1616,3082,MEDIA (AA)
VENUSTIANO CARRANZA,2345,659,25,15,126,53,28,382,58,12,8,0,126,15,28,20,1611,3250,MEDIA (AA)
TEHUACAN,2011,352,297,11,99,60,29,477,23,6,8,2,95,17,20,9,1575,8025,MEDIA (AA)
OCOYUCAN,861,106,676,162,135,40,24,310,12,2,2,2,20,4,10,4,1539,2515,MEDIA (AA)
HUAUCHINANGO,603,288,247,31,71,183,32,466,21,3,3,2,59,8,24,7,1539,4710,MEDIA (AA)
CUAUTLANCINGO,330,573,217,29,60,23,29,336,99,10,8,1,91,6,12,4,1539,5314,MEDIA (AA)
ZACATLAN,2468,306,340,23,159,88,24,337,43,5,7,0,95,18,10,7,1534,5470,MEDIA (AA)
OCOYUCAN,857,351,488,172,101,36,30,196,23,18,0,6,44,5,5,2,1531,2422,MEDIA (AA)
PUEBLA,1390,472,208,28,81,38,33,355,93,7,11,0,115,5,10,9,1510,4123,MEDIA (AA)
PUEBLA,1398,388,228,11,71,41,19,360,89,10,12,2,133,31,29,19,1509,5433,MEDIA (AA)
TEHUACAN,1937,378,198,20,109,75,29,487,38,2,5,1,89,10,14,10,1509,6240,MEDIA (AA)
PUEBLA,1605,347,266,19,82,49,22,359,59,10,10,3,153,12,19,10,1487,6810,MEDIA (AA)
ATEMPAN,144,78,621,12,154,75,15,326,3,0,1,1,52,18,24,6,1475,3742,MEDIA (AA)
PUEBLA,1259,281,626,27,153,33,13,140,26,4,8,2,62,15,5,4,1466,6053,MEDIA (AA)
CAÑADA MORELOS,265,230,585,24,119,31,35,288,21,6,7,1,40,10,11,4,1465,2683,MEDIA (AA)
PUEBLA,1534,452,213,11,91,24,32,324,93,8,17,2,98,4,13,14,1456,4186,MEDIA (AA)
PUEBLA,1242,378,203,21,96,45,29,373,63,10,9,1,131,6,19,10,1441,5558,MEDIA (AA)
SAN PEDRO CHOLULA,1824,471,248,23,67,30,41,296,80,8,15,3,77,8,16,10,1439,4196,MEDIA (AA)
AMOZOC,132,445,217,15,87,77,25,304,63,10,13,1,91,13,17,7,1439,7288,MEDIA (AA)
ZACATLAN,2481,256,378,18,150,102,19,328,19,5,2,1,62,12,10,6,1431,4406,MEDIA (AA)
PUEBLA,1193,594,144,33,55,19,31,280,97,12,13,1,70,6,12,8,1420,3244,MEDIA (AA)
QUECHOLAC,1622,67,37,2,22,6,5,992,7,0,0,0,166,0,49,13,1414,2440,MEDIA (AA)
SAN PEDRO CHOLULA,1802,834,61,32,36,9,47,160,137,8,13,1,33,1,8,4,1410,3041,MEDIA (AA)
AJALPAN,80,437,141,33,90,52,18,390,47,18,6,0,92,15,15,5,1404,4723,MEDIA (AA)
OCOYUCAN,864,230,491,126,108,44,28,223,30,4,1,4,31,9,10,11,1401,2655,MEDIA (AA)
TLAOLA,2257,126,149,16,103,474,19,376,5,2,1,0,42,7,4,6,1398,3161,MEDIA (AA)
PUEBLA,1320,505,115,13,50,25,31,400,91,10,10,0,89,2,14,2,1398,2756,MEDIA (AA)
TETELA DE OCAMPO,2117,66,542,10,160,51,24,366,5,3,2,0,64,14,18,5,1395,3158,MEDIA (AA)
PUEBLA,1128,726,91,25,38,22,37,175,141,16,20,1,58,6,8,4,1394,4300,MEDIA (AA)
PUEBLA,1248,509,124,15,87,25,32,338,68,7,15,0,93,10,12,6,1388,4737,MEDIA (AA)
PUEBLA,1434,530,154,17,65,31,34,291,100,7,9,3,78,4,10,8,1372,1273,MEDIA (AA)
PUEBLA,1567,816,52,14,26,13,30,192,122,9,15,0,39,0,9,3,1366,2598,MEDIA (AA)
SAN PEDRO CHOLULA,1831,738,111,23,51,22,50,153,119,8,7,3,37,2,9,1,1361,3043,MEDIA (AA)
HUAUCHINANGO,609,158,332,15,61,246,14,262,16,4,2,5,67,12,26,27,1351,5391,MEDIA (AA)
LIBRES,810,206,221,18,191,128,16,367,30,5,3,2,72,13,16,8,1349,3257,MEDIA (AA)
TEPEOJUMA,2084,117,573,6,183,18,6,282,11,0,4,4,24,10,63,6,1346,1908,MEDIA (AA)
