SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1356,PUEBLA,67,37,1,10,2,4,35,11,4,1,1,20,1,1,1,205,618,B,6,11
1356,PUEBLA,73,32,8,11,8,5,47,10,1,0,0,12,1,5,3,222,617,C,6,11
1357,PUEBLA,80,25,2,12,3,3,55,13,6,1,2,22,2,3,1,241,639,B,6,11
1357,PUEBLA,74,27,4,16,5,2,33,18,0,3,0,24,3,0,4,224,638,C,6,11
1358,PUEBLA,81,33,4,19,3,7,69,19,2,2,1,18,4,3,5,282,669,B,6,11
1358,PUEBLA,94,32,6,11,6,6,59,20,1,2,0,25,3,2,2,279,669,C,6,11
1359,PUEBLA,53,14,1,5,2,1,34,6,3,2,0,15,2,0,0,154,611,B,6,11
1359,PUEBLA,60,31,2,14,8,2,32,16,3,1,0,19,3,2,1,205,611,C,6,11
1359,PUEBLA,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,39,611,C,6,11
1359,PUEBLA,45,27,3,9,3,8,43,2,1,2,2,28,3,2,5,188,610,C,6,11
1359,PUEBLA,47,22,2,13,7,8,70,0,0,0,0,0,0,0,0,175,610,C,6,11
1360,PUEBLA,99,29,2,7,2,7,50,20,2,1,0,9,0,3,2,238,498,B,6,10
1360,PUEBLA,105,17,4,9,7,3,44,20,1,0,0,14,1,3,1,239,498,C,6,10
1361,PUEBLA,183,25,1,9,14,10,60,41,5,3,0,17,1,0,0,378,747,B,6,10
1361,PUEBLA,154,36,3,11,4,2,66,32,4,0,1,18,1,1,1,341,746,C,6,10
1362,PUEBLA,84,31,9,9,6,3,43,16,1,2,0,17,0,1,0,236,652,B,6,10
1362,PUEBLA,78,29,6,17,8,11,47,17,5,0,2,15,2,3,1,257,652,C,6,10
1363,PUEBLA,59,23,3,10,1,6,41,16,0,0,1,14,0,0,0,187,562,B,6,10
1363,PUEBLA,66,21,5,4,3,5,53,12,2,1,0,18,1,2,1,206,561,C,6,10
1364,PUEBLA,53,26,4,17,6,2,40,13,1,4,0,21,1,3,2,205,625,B,6,10
1364,PUEBLA,71,29,5,5,8,5,43,13,3,3,0,14,2,0,3,218,624,C,6,10
1370,PUEBLA,62,25,2,0,0,6,48,0,1,0,0,0,1,0,1,160,642,B,6,10
1370,PUEBLA,53,33,6,11,9,5,53,9,2,0,0,26,4,1,2,222,642,C,6,10
1370,PUEBLA,87,44,2,9,1,3,54,12,0,0,1,0,1,2,0,220,641,C,6,10
1371,PUEBLA,63,32,4,9,7,7,48,13,1,2,0,20,1,5,2,226,721,B,6,11
1371,PUEBLA,88,38,2,13,11,4,54,14,2,1,0,17,2,2,3,262,721,C,6,11
1372,PUEBLA,78,28,4,9,10,6,50,13,1,0,1,16,0,3,1,225,593,B,6,11
1372,PUEBLA,79,18,2,11,4,4,50,21,0,1,1,16,0,4,1,215,593,C,6,11
1372,PUEBLA,87,19,3,8,3,4,55,12,1,1,2,14,1,5,1,222,592,C,6,11
1373,PUEBLA,75,27,2,12,3,4,52,14,2,3,0,15,1,2,0,227,605,B,6,11
1373,PUEBLA,79,29,1,10,1,3,44,9,2,0,0,20,2,1,3,213,605,C,6,11
1374,PUEBLA,52,32,4,14,6,3,55,7,1,0,0,24,4,3,1,215,716,B,6,11
1374,PUEBLA,78,35,2,9,4,3,59,16,0,2,1,19,1,5,1,243,716,C,6,11
1374,PUEBLA,62,31,2,13,0,9,47,14,4,2,0,25,0,3,1,216,716,C,6,11
1374,PUEBLA,67,31,1,15,0,9,58,16,5,3,0,11,2,1,1,228,715,C,6,11
